replicate,pop,gen,disS,Fis,selModel
1,STL,1,0.2,-1,incompDisSel
1,STM,1,0.2,-1,incompDisSel
1,STH,1,0.2,-1,incompDisSel
1,STL,2,0.2,-0.3243,incompDisSel
1,STM,2,0.2,-0.4412,incompDisSel
1,STH,2,0.2,-0.4388,incompDisSel
1,STL,3,0.2,-0.2727,incompDisSel
1,STM,3,0.2,-0.1335,incompDisSel
1,STH,3,0.2,-0.4848,incompDisSel
1,STL,4,0.2,-0.2405,incompDisSel
1,STM,4,0.2,-0.176,incompDisSel
1,STH,4,0.2,-0.3243,incompDisSel
1,STL,5,0.2,-0.1667,incompDisSel
1,STM,5,0.2,-0.1951,incompDisSel
1,STH,5,0.2,-0.2099,incompDisSel
1,STL,6,0.2,-0.1395,incompDisSel
1,STM,6,0.2,-0.2564,incompDisSel
1,STH,6,0.2,-0.1529,incompDisSel
1,STL,7,0.2,-0.1011,incompDisSel
1,STM,7,0.2,-0.225,incompDisSel
1,STH,7,0.2,-0.0889,incompDisSel
1,STL,8,0.2,-0.1264,incompDisSel
1,STM,8,0.2,-0.2564,incompDisSel
1,STH,8,0.2,-0.0426,incompDisSel
1,STL,9,0.2,-0.0889,incompDisSel
1,STM,9,0.2,-0.3067,incompDisSel
1,STH,9,0.2,-0.1011,incompDisSel
1,STL,10,0.2,-0.0538,incompDisSel
1,STM,10,0.2,-0.3067,incompDisSel
1,STH,10,0.2,-0.0769,incompDisSel
1,STL,11,0.2,-0.0652,incompDisSel
1,STM,11,0.2,-0.2099,incompDisSel
1,STH,11,0.2,-0.0889,incompDisSel
1,STL,12,0.2,-0.1011,incompDisSel
1,STM,12,0.2,-0.2099,incompDisSel
1,STH,12,0.2,-0.0769,incompDisSel
1,STL,13,0.2,-0.0769,incompDisSel
1,STM,13,0.2,-0.0316,incompDisSel
1,STH,13,0.2,-0.0426,incompDisSel
1,STL,14,0.2,-0.0426,incompDisSel
1,STM,14,0.2,-0.1136,incompDisSel
1,STH,14,0.2,-0.0769,incompDisSel
1,STL,15,0.2,-0.0426,incompDisSel
1,STM,15,0.2,-0.1529,incompDisSel
1,STH,15,0.2,-0.1136,incompDisSel
1,STL,16,0.2,-0.0652,incompDisSel
1,STM,16,0.2,-0.1395,incompDisSel
1,STH,16,0.2,-0.1136,incompDisSel
1,STL,17,0.2,-0.0889,incompDisSel
1,STM,17,0.2,-0.1395,incompDisSel
1,STH,17,0.2,-0.1395,incompDisSel
1,STL,18,0.2,-0.0538,incompDisSel
1,STM,18,0.2,-0.0769,incompDisSel
1,STH,18,0.2,-0.0889,incompDisSel
1,STL,19,0.2,-0.1011,incompDisSel
1,STM,19,0.2,-0.1136,incompDisSel
1,STH,19,0.2,-0.0889,incompDisSel
1,STL,20,0.2,-0.0652,incompDisSel
1,STM,20,0.2,-0.0769,incompDisSel
1,STH,20,0.2,-0.1011,incompDisSel
2,STL,1,0.2,-1,incompDisSel
2,STM,1,0.2,-1,incompDisSel
2,STH,1,0.2,-1,incompDisSel
2,STL,2,0.2,-0.4848,incompDisSel
2,STM,2,0.2,-0.5077,incompDisSel
2,STH,2,0.2,-0.5207,incompDisSel
2,STL,3,0.2,-0.3243,incompDisSel
2,STM,3,0.2,-0.37,incompDisSel
2,STH,3,0.2,-0.4,incompDisSel
2,STL,4,0.2,-0.2564,incompDisSel
2,STM,4,0.2,-0.3243,incompDisSel
2,STH,4,0.2,-0.2171,incompDisSel
2,STL,5,0.2,-0.1807,incompDisSel
2,STM,5,0.2,-0.2727,incompDisSel
2,STH,5,0.2,-0.2895,incompDisSel
2,STL,6,0.2,-0.225,incompDisSel
2,STM,6,0.2,-0.1807,incompDisSel
2,STH,6,0.2,-0.2727,incompDisSel
2,STL,7,0.2,-0.1807,incompDisSel
2,STM,7,0.2,-0.0889,incompDisSel
2,STH,7,0.2,-0.2564,incompDisSel
2,STL,8,0.2,-0.1951,incompDisSel
2,STM,8,0.2,-0.0769,incompDisSel
2,STH,8,0.2,-0.225,incompDisSel
2,STL,9,0.2,-0.0316,incompDisSel
2,STM,9,0.2,-0.0538,incompDisSel
2,STH,9,0.2,-0.1807,incompDisSel
2,STL,10,0.2,-0.2099,incompDisSel
2,STM,10,0.2,-0.0316,incompDisSel
2,STH,10,0.2,-0.1529,incompDisSel
2,STL,11,0.2,-0.1395,incompDisSel
2,STM,11,0.2,-0.0208,incompDisSel
2,STH,11,0.2,-0.1011,incompDisSel
2,STL,12,0.2,-0.1807,incompDisSel
2,STM,12,0.2,-0.0316,incompDisSel
2,STH,12,0.2,-0.1011,incompDisSel
2,STL,13,0.2,-0.1529,incompDisSel
2,STM,13,0.2,-0.0208,incompDisSel
2,STH,13,0.2,-0.0889,incompDisSel
2,STL,14,0.2,-0.1529,incompDisSel
2,STM,14,0.2,-0.0769,incompDisSel
2,STH,14,0.2,-0.0538,incompDisSel
2,STL,15,0.2,-0.1395,incompDisSel
2,STM,15,0.2,-0.1011,incompDisSel
2,STH,15,0.2,-0.0426,incompDisSel
2,STL,16,0.2,-0.1136,incompDisSel
2,STM,16,0.2,-0.1011,incompDisSel
2,STH,16,0.2,-0.0538,incompDisSel
2,STL,17,0.2,-0.0889,incompDisSel
2,STM,17,0.2,-0.1264,incompDisSel
2,STH,17,0.2,-0.0889,incompDisSel
2,STL,18,0.2,-0.0652,incompDisSel
2,STM,18,0.2,-0.1395,incompDisSel
2,STH,18,0.2,-0.0652,incompDisSel
2,STL,19,0.2,-0.0769,incompDisSel
2,STM,19,0.2,-0.1264,incompDisSel
2,STH,19,0.2,-0.0538,incompDisSel
2,STL,20,0.2,-0.0889,incompDisSel
2,STM,20,0.2,-0.1951,incompDisSel
2,STH,20,0.2,-0.0538,incompDisSel
3,STL,1,0.2,-1,incompDisSel
3,STM,1,0.2,-1,incompDisSel
3,STH,1,0.2,-1,incompDisSel
3,STL,2,0.2,-0.3538,incompDisSel
3,STM,2,0.2,-0.4848,incompDisSel
3,STH,2,0.2,-0.5482,incompDisSel
3,STL,3,0.2,-0.2379,incompDisSel
3,STM,3,0.2,-0.1557,incompDisSel
3,STH,3,0.2,-0.3611,incompDisSel
3,STL,4,0.2,-0.2171,incompDisSel
3,STM,4,0.2,-0.1557,incompDisSel
3,STH,4,0.2,-0.1951,incompDisSel
3,STL,5,0.2,-0.1951,incompDisSel
3,STM,5,0.2,-0.2564,incompDisSel
3,STH,5,0.2,-0.1264,incompDisSel
3,STL,6,0.2,-0.1264,incompDisSel
3,STM,6,0.2,-0.3067,incompDisSel
3,STH,6,0.2,-0.0769,incompDisSel
3,STL,7,0.2,-0.1136,incompDisSel
3,STM,7,0.2,-0.225,incompDisSel
3,STH,7,0.2,-0.0652,incompDisSel
3,STL,8,0.2,-0.1011,incompDisSel
3,STM,8,0.2,-0.3067,incompDisSel
3,STH,8,0.2,-0.0769,incompDisSel
3,STL,9,0.2,-0.1667,incompDisSel
3,STM,9,0.2,-0.2804,incompDisSel
3,STH,9,0.2,-0.0769,incompDisSel
3,STL,10,0.2,-0.1011,incompDisSel
3,STM,10,0.2,-0.2405,incompDisSel
3,STH,10,0.2,-0.0538,incompDisSel
3,STL,11,0.2,-0.0538,incompDisSel
3,STM,11,0.2,-0.1951,incompDisSel
3,STH,11,0.2,-0.0889,incompDisSel
3,STL,12,0.2,-0.0538,incompDisSel
3,STM,12,0.2,-0.1395,incompDisSel
3,STH,12,0.2,-0.0769,incompDisSel
3,STL,13,0.2,-0.1011,incompDisSel
3,STM,13,0.2,-0.1136,incompDisSel
3,STH,13,0.2,-0.1136,incompDisSel
3,STL,14,0.2,-0.0652,incompDisSel
3,STM,14,0.2,-0.0889,incompDisSel
3,STH,14,0.2,-0.1395,incompDisSel
3,STL,15,0.2,-0.0769,incompDisSel
3,STM,15,0.2,-0.0769,incompDisSel
3,STH,15,0.2,-0.1667,incompDisSel
3,STL,16,0.2,-0.0769,incompDisSel
3,STM,16,0.2,-0.0652,incompDisSel
3,STH,16,0.2,-0.1951,incompDisSel
3,STL,17,0.2,-0.0889,incompDisSel
3,STM,17,0.2,-0.0538,incompDisSel
3,STH,17,0.2,-0.2099,incompDisSel
3,STL,18,0.2,-0.0652,incompDisSel
3,STM,18,0.2,-0.0208,incompDisSel
3,STH,18,0.2,-0.1395,incompDisSel
3,STL,19,0.2,-0.0889,incompDisSel
3,STM,19,0.2,-0.0208,incompDisSel
3,STH,19,0.2,-0.1667,incompDisSel
