replicate,pop,gen,disS,Fis,selModel
1,STL,1,0.91,-1,incompDisSexDistSel
1,STM,1,0.91,-1,incompDisSexDistSel
1,STH,1,0.91,-1,incompDisSexDistSel
1,STL,2,0.91,-0.453,incompDisSexDistSel
1,STM,2,0.91,-0.3025,incompDisSexDistSel
1,STH,2,0.91,-0.1589,incompDisSexDistSel
1,STL,3,0.91,-0.3243,incompDisSexDistSel
1,STM,3,0.91,-0.225,incompDisSexDistSel
1,STH,3,0.91,-0.4203,incompDisSexDistSel
1,STL,4,0.91,-0.3067,incompDisSexDistSel
1,STM,4,0.91,-0.2405,incompDisSexDistSel
1,STH,4,0.91,-0.2727,incompDisSexDistSel
1,STL,5,0.91,-0.5077,incompDisSexDistSel
1,STM,5,0.91,-0.3803,incompDisSexDistSel
1,STH,5,0.91,-0.3067,incompDisSexDistSel
1,STL,6,0.91,-0.2405,incompDisSexDistSel
1,STM,6,0.91,-0.2895,incompDisSexDistSel
1,STH,6,0.91,-0.3611,incompDisSexDistSel
1,STL,7,0.91,-0.3067,incompDisSexDistSel
1,STM,7,0.91,-0.3243,incompDisSexDistSel
1,STH,7,0.91,-0.2895,incompDisSexDistSel
1,STL,8,0.91,-0.3243,incompDisSexDistSel
1,STM,8,0.91,-0.3243,incompDisSexDistSel
1,STH,8,0.91,-0.2099,incompDisSexDistSel
1,STL,9,0.91,-0.2895,incompDisSexDistSel
1,STM,9,0.91,-0.3067,incompDisSexDistSel
1,STH,9,0.91,-0.4,incompDisSexDistSel
1,STL,10,0.91,-0.2405,incompDisSexDistSel
1,STM,10,0.91,-0.3067,incompDisSexDistSel
1,STH,10,0.91,-0.3067,incompDisSexDistSel
1,STL,11,0.91,-0.1951,incompDisSexDistSel
1,STM,11,0.91,-0.3803,incompDisSexDistSel
1,STH,11,0.91,-0.2895,incompDisSexDistSel
1,STL,12,0.91,-0.3243,incompDisSexDistSel
1,STM,12,0.91,-0.3425,incompDisSexDistSel
1,STH,12,0.91,-0.2895,incompDisSexDistSel
1,STL,13,0.91,-0.2564,incompDisSexDistSel
1,STM,13,0.91,-0.2727,incompDisSexDistSel
1,STH,13,0.91,-0.3243,incompDisSexDistSel
1,STL,14,0.91,-0.3611,incompDisSexDistSel
1,STM,14,0.91,-0.3611,incompDisSexDistSel
1,STH,14,0.91,-0.3803,incompDisSexDistSel
1,STL,15,0.91,-0.3067,incompDisSexDistSel
1,STM,15,0.91,-0.3067,incompDisSexDistSel
1,STH,15,0.91,-0.3611,incompDisSexDistSel
1,STL,16,0.91,-0.2564,incompDisSexDistSel
1,STM,16,0.91,-0.2727,incompDisSexDistSel
1,STH,16,0.91,-0.3611,incompDisSexDistSel
1,STL,17,0.91,-0.2895,incompDisSexDistSel
1,STM,17,0.91,-0.2564,incompDisSexDistSel
1,STH,17,0.91,-0.1807,incompDisSexDistSel
1,STL,18,0.91,-0.3425,incompDisSexDistSel
1,STM,18,0.91,-0.2405,incompDisSexDistSel
1,STH,18,0.91,-0.2405,incompDisSexDistSel
1,STL,19,0.91,-0.3611,incompDisSexDistSel
1,STM,19,0.91,-0.3067,incompDisSexDistSel
1,STH,19,0.91,-0.1807,incompDisSexDistSel
1,STL,20,0.91,-0.3243,incompDisSexDistSel
1,STM,20,0.91,-0.1667,incompDisSexDistSel
1,STH,20,0.91,-0.2895,incompDisSexDistSel
2,STL,1,0.91,-1,incompDisSexDistSel
2,STM,1,0.91,-1,incompDisSexDistSel
2,STH,1,0.91,-1,incompDisSexDistSel
2,STL,2,0.91,-0.3022,incompDisSexDistSel
2,STM,2,0.91,-0.5077,incompDisSexDistSel
2,STH,2,0.91,-0.2056,incompDisSexDistSel
2,STL,3,0.91,-0.3067,incompDisSexDistSel
2,STM,3,0.91,-0.3611,incompDisSexDistSel
2,STH,3,0.91,-0.37,incompDisSexDistSel
2,STL,4,0.91,-0.3243,incompDisSexDistSel
2,STM,4,0.91,-0.3611,incompDisSexDistSel
2,STH,4,0.91,-0.3803,incompDisSexDistSel
2,STL,5,0.91,-0.3611,incompDisSexDistSel
2,STM,5,0.91,-0.4,incompDisSexDistSel
2,STH,5,0.91,-0.3067,incompDisSexDistSel
2,STL,6,0.91,-0.2727,incompDisSexDistSel
2,STM,6,0.91,-0.2895,incompDisSexDistSel
2,STH,6,0.91,-0.2727,incompDisSexDistSel
