replicate,pop,gen,disS,H0,selModel
1,STL,1,0.2,1,incompDisSexDistSel
1,STM,1,0.2,1,incompDisSexDistSel
1,STH,1,0.2,1,incompDisSexDistSel
1,STL,2,0.2,0.66,incompDisSexDistSel
1,STM,2,0.2,0.62,incompDisSexDistSel
1,STH,2,0.2,0.56,incompDisSexDistSel
1,STL,3,0.2,0.46,incompDisSexDistSel
1,STM,3,0.2,0.54,incompDisSexDistSel
1,STH,3,0.2,0.38,incompDisSexDistSel
1,STL,4,0.2,0.46,incompDisSexDistSel
1,STM,4,0.2,0.48,incompDisSexDistSel
1,STH,4,0.2,0.5,incompDisSexDistSel
1,STL,5,0.2,0.16,incompDisSexDistSel
1,STM,5,0.2,0.42,incompDisSexDistSel
1,STH,5,0.2,0.42,incompDisSexDistSel
1,STL,6,0.2,0.36,incompDisSexDistSel
1,STM,6,0.2,0.38,incompDisSexDistSel
1,STH,6,0.2,0.34,incompDisSexDistSel
1,STL,7,0.2,0.4,incompDisSexDistSel
1,STM,7,0.2,0.46,incompDisSexDistSel
1,STH,7,0.2,0.36,incompDisSexDistSel
1,STL,8,0.2,0.32,incompDisSexDistSel
1,STM,8,0.2,0.42,incompDisSexDistSel
1,STH,8,0.2,0.28,incompDisSexDistSel
1,STL,9,0.2,0.34,incompDisSexDistSel
1,STM,9,0.2,0.42,incompDisSexDistSel
1,STH,9,0.2,0.3,incompDisSexDistSel
1,STL,10,0.2,0.2,incompDisSexDistSel
1,STM,10,0.2,0.42,incompDisSexDistSel
1,STH,10,0.2,0.34,incompDisSexDistSel
1,STL,11,0.2,0.26,incompDisSexDistSel
1,STM,11,0.2,0.26,incompDisSexDistSel
1,STH,11,0.2,0.38,incompDisSexDistSel
1,STL,12,0.2,0.28,incompDisSexDistSel
1,STM,12,0.2,0.36,incompDisSexDistSel
1,STH,12,0.2,0.24,incompDisSexDistSel
1,STL,13,0.2,0.22,incompDisSexDistSel
1,STM,13,0.2,0.26,incompDisSexDistSel
1,STH,13,0.2,0.14,incompDisSexDistSel
1,STL,14,0.2,0.12,incompDisSexDistSel
1,STM,14,0.2,0.18,incompDisSexDistSel
1,STH,14,0.2,0.12,incompDisSexDistSel
1,STL,15,0.2,0.2,incompDisSexDistSel
1,STM,15,0.2,0.14,incompDisSexDistSel
1,STH,15,0.2,0.12,incompDisSexDistSel
1,STL,16,0.2,0.2,incompDisSexDistSel
1,STM,16,0.2,0.12,incompDisSexDistSel
1,STH,16,0.2,0.14,incompDisSexDistSel
1,STL,17,0.2,0.18,incompDisSexDistSel
1,STM,17,0.2,0.08,incompDisSexDistSel
1,STH,17,0.2,0.16,incompDisSexDistSel
1,STL,18,0.2,0.24,incompDisSexDistSel
1,STM,18,0.2,0.1,incompDisSexDistSel
1,STH,18,0.2,0.2,incompDisSexDistSel
1,STL,19,0.2,0.22,incompDisSexDistSel
1,STM,19,0.2,0.02,incompDisSexDistSel
1,STH,19,0.2,0.22,incompDisSexDistSel
1,STL,20,0.2,0.32,incompDisSexDistSel
1,STM,20,0.2,0,incompDisSexDistSel
1,STH,20,0.2,0.26,incompDisSexDistSel
2,STL,1,0.2,1,incompDisSexDistSel
2,STM,1,0.2,1,incompDisSexDistSel
2,STH,1,0.2,1,incompDisSexDistSel
2,STL,2,0.2,0.58,incompDisSexDistSel
2,STM,2,0.2,0.64,incompDisSexDistSel
2,STH,2,0.2,0.68,incompDisSexDistSel
2,STL,3,0.2,0.4,incompDisSexDistSel
2,STM,3,0.2,0.5,incompDisSexDistSel
2,STH,3,0.2,0.4,incompDisSexDistSel
2,STL,4,0.2,0.3,incompDisSexDistSel
2,STM,4,0.2,0.48,incompDisSexDistSel
2,STH,4,0.2,0.52,incompDisSexDistSel
2,STL,5,0.2,0.18,incompDisSexDistSel
2,STM,5,0.2,0.54,incompDisSexDistSel
2,STH,5,0.2,0.4,incompDisSexDistSel
2,STL,6,0.2,0.14,incompDisSexDistSel
2,STM,6,0.2,0.48,incompDisSexDistSel
2,STH,6,0.2,0.2,incompDisSexDistSel
2,STL,7,0.2,0.06,incompDisSexDistSel
2,STM,7,0.2,0.38,incompDisSexDistSel
2,STH,7,0.2,0.24,incompDisSexDistSel
2,STL,8,0.2,0.22,incompDisSexDistSel
2,STM,8,0.2,0.32,incompDisSexDistSel
2,STH,8,0.2,0.24,incompDisSexDistSel
2,STL,9,0.2,0.24,incompDisSexDistSel
2,STM,9,0.2,0.3,incompDisSexDistSel
2,STH,9,0.2,0.22,incompDisSexDistSel
2,STL,10,0.2,0.3,incompDisSexDistSel
2,STM,10,0.2,0.24,incompDisSexDistSel
2,STH,10,0.2,0.16,incompDisSexDistSel
2,STL,11,0.2,0.26,incompDisSexDistSel
2,STM,11,0.2,0.26,incompDisSexDistSel
