replicate,pop,gen,disS,Fis,selModel
1,STL,1,0.4,-1,incompHetPrefAltLocSel
1,STM,1,0.4,-1,incompHetPrefAltLocSel
1,STH,1,0.4,-1,incompHetPrefAltLocSel
1,STL,2,0.4,-0.2383,incompHetPrefAltLocSel
1,STM,2,0.4,-0.4848,incompHetPrefAltLocSel
1,STH,2,0.4,-0.264,incompHetPrefAltLocSel
1,STL,3,0.4,-0.3611,incompHetPrefAltLocSel
1,STM,3,0.4,-0.2895,incompHetPrefAltLocSel
1,STH,3,0.4,-0.3936,incompHetPrefAltLocSel
1,STL,4,0.4,-0.2405,incompHetPrefAltLocSel
1,STM,4,0.4,-0.2727,incompHetPrefAltLocSel
1,STH,4,0.4,-0.2171,incompHetPrefAltLocSel
1,STL,5,0.4,-0.1529,incompHetPrefAltLocSel
1,STM,5,0.4,-0.2171,incompHetPrefAltLocSel
1,STH,5,0.4,-0.1529,incompHetPrefAltLocSel
1,STL,6,0.4,-0.1264,incompHetPrefAltLocSel
1,STM,6,0.4,-0.1557,incompHetPrefAltLocSel
1,STH,6,0.4,-0.1951,incompHetPrefAltLocSel
1,STL,7,0.4,-0.1136,incompHetPrefAltLocSel
1,STM,7,0.4,-0.2405,incompHetPrefAltLocSel
1,STH,7,0.4,-0.1136,incompHetPrefAltLocSel
1,STL,8,0.4,-0.1395,incompHetPrefAltLocSel
1,STM,8,0.4,-0.1529,incompHetPrefAltLocSel
1,STH,8,0.4,-0.1264,incompHetPrefAltLocSel
1,STL,9,0.4,-0.1264,incompHetPrefAltLocSel
1,STM,9,0.4,-0.1529,incompHetPrefAltLocSel
1,STH,9,0.4,-0.1395,incompHetPrefAltLocSel
1,STL,10,0.4,-0.1136,incompHetPrefAltLocSel
1,STM,10,0.4,-0.1395,incompHetPrefAltLocSel
1,STH,10,0.4,-0.1667,incompHetPrefAltLocSel
1,STL,11,0.4,-0.1667,incompHetPrefAltLocSel
1,STM,11,0.4,-0.1136,incompHetPrefAltLocSel
1,STH,11,0.4,-0.1395,incompHetPrefAltLocSel
1,STL,12,0.4,-0.1529,incompHetPrefAltLocSel
1,STM,12,0.4,-0.0769,incompHetPrefAltLocSel
1,STH,12,0.4,-0.1011,incompHetPrefAltLocSel
1,STL,13,0.4,-0.1667,incompHetPrefAltLocSel
1,STM,13,0.4,-0.0538,incompHetPrefAltLocSel
1,STH,13,0.4,-0.0889,incompHetPrefAltLocSel
1,STL,14,0.4,-0.1395,incompHetPrefAltLocSel
1,STM,14,0.4,-0.0652,incompHetPrefAltLocSel
1,STH,14,0.4,-0.0652,incompHetPrefAltLocSel
1,STL,15,0.4,-0.225,incompHetPrefAltLocSel
1,STM,15,0.4,-0.0889,incompHetPrefAltLocSel
1,STH,15,0.4,-0.0889,incompHetPrefAltLocSel
1,STL,16,0.4,-0.1951,incompHetPrefAltLocSel
1,STM,16,0.4,-0.0652,incompHetPrefAltLocSel
1,STH,16,0.4,-0.0426,incompHetPrefAltLocSel
1,STL,17,0.4,-0.1011,incompHetPrefAltLocSel
1,STM,17,0.4,-0.0538,incompHetPrefAltLocSel
1,STH,17,0.4,-0.0652,incompHetPrefAltLocSel
1,STL,18,0.4,-0.0652,incompHetPrefAltLocSel
1,STM,18,0.4,-0.0538,incompHetPrefAltLocSel
1,STH,18,0.4,-0.0538,incompHetPrefAltLocSel
1,STL,19,0.4,-0.0769,incompHetPrefAltLocSel
1,STM,19,0.4,-0.0103,incompHetPrefAltLocSel
1,STH,19,0.4,-0.0316,incompHetPrefAltLocSel
1,STL,20,0.4,-0.0889,incompHetPrefAltLocSel
1,STM,20,0.4,-0.0103,incompHetPrefAltLocSel
1,STH,20,0.4,-0.0103,incompHetPrefAltLocSel
2,STL,1,0.4,-1,incompHetPrefAltLocSel
2,STM,1,0.4,-1,incompHetPrefAltLocSel
2,STH,1,0.4,-1,incompHetPrefAltLocSel
2,STL,2,0.4,-0.4678,incompHetPrefAltLocSel
2,STM,2,0.4,-0.5207,incompHetPrefAltLocSel
2,STH,2,0.4,-0.5312,incompHetPrefAltLocSel
2,STL,3,0.4,-0.3243,incompHetPrefAltLocSel
2,STM,3,0.4,-0.37,incompHetPrefAltLocSel
2,STH,3,0.4,-0.2895,incompHetPrefAltLocSel
2,STL,4,0.4,-0.2727,incompHetPrefAltLocSel
2,STM,4,0.4,-0.3067,incompHetPrefAltLocSel
2,STH,4,0.4,-0.2405,incompHetPrefAltLocSel
2,STL,5,0.4,-0.2099,incompHetPrefAltLocSel
2,STM,5,0.4,-0.074,incompHetPrefAltLocSel
2,STH,5,0.4,-0.0316,incompHetPrefAltLocSel
2,STL,6,0.4,-0.1951,incompHetPrefAltLocSel
2,STM,6,0.4,-0.1395,incompHetPrefAltLocSel
2,STH,6,0.4,-0.1667,incompHetPrefAltLocSel
2,STL,7,0.4,-0.1395,incompHetPrefAltLocSel
2,STM,7,0.4,-0.1011,incompHetPrefAltLocSel
2,STH,7,0.4,-0.2564,incompHetPrefAltLocSel
2,STL,8,0.4,-0.1011,incompHetPrefAltLocSel
2,STM,8,0.4,-0.0889,incompHetPrefAltLocSel
2,STH,8,0.4,-0.1951,incompHetPrefAltLocSel
2,STL,9,0.4,-0.1136,incompHetPrefAltLocSel
2,STM,9,0.4,-0.1136,incompHetPrefAltLocSel
2,STH,9,0.4,-0.2405,incompHetPrefAltLocSel
2,STL,10,0.4,-0.0538,incompHetPrefAltLocSel
2,STM,10,0.4,-0.1136,incompHetPrefAltLocSel
2,STH,10,0.4,-0.2099,incompHetPrefAltLocSel
2,STL,11,0.4,-0.0538,incompHetPrefAltLocSel
2,STM,11,0.4,0.0907,incompHetPrefAltLocSel
2,STH,11,0.4,-0.1667,incompHetPrefAltLocSel
2,STL,12,0.4,-0.0208,incompHetPrefAltLocSel
2,STM,12,0.4,-0.1395,incompHetPrefAltLocSel
2,STH,12,0.4,-0.1529,incompHetPrefAltLocSel
2,STL,13,0.4,-0.0426,incompHetPrefAltLocSel
2,STM,13,0.4,-0.1136,incompHetPrefAltLocSel
2,STH,13,0.4,-0.1011,incompHetPrefAltLocSel
2,STL,14,0.4,-0.0208,incompHetPrefAltLocSel
2,STM,14,0.4,-0.0538,incompHetPrefAltLocSel
2,STH,14,0.4,-0.1011,incompHetPrefAltLocSel
2,STL,15,0.4,-0.0316,incompHetPrefAltLocSel
2,STM,15,0.4,-0.0538,incompHetPrefAltLocSel
2,STH,15,0.4,-0.0426,incompHetPrefAltLocSel
2,STL,16,0.4,-0.0316,incompHetPrefAltLocSel
2,STM,16,0.4,-0.0316,incompHetPrefAltLocSel
2,STH,16,0.4,0,incompHetPrefAltLocSel
2,STL,17,0.4,-0.0426,incompHetPrefAltLocSel
2,STM,17,0.4,0,incompHetPrefAltLocSel
2,STH,17,0.4,NaN,incompHetPrefAltLocSel
2,STL,18,0.4,-0.0208,incompHetPrefAltLocSel
2,STM,18,0.4,0,incompHetPrefAltLocSel
2,STH,18,0.4,NaN,incompHetPrefAltLocSel
2,STL,19,0.4,-0.0426,incompHetPrefAltLocSel
2,STM,19,0.4,0,incompHetPrefAltLocSel
2,STH,19,0.4,NaN,incompHetPrefAltLocSel
2,STL,20,0.4,-0.0538,incompHetPrefAltLocSel
2,STM,20,0.4,-0.0103,incompHetPrefAltLocSel
2,STH,20,0.4,NaN,incompHetPrefAltLocSel
3,STL,1,0.4,-1,incompHetPrefAltLocSel
3,STM,1,0.4,-1,incompHetPrefAltLocSel
3,STH,1,0.4,-1,incompHetPrefAltLocSel
3,STL,2,0.4,-0.3469,incompHetPrefAltLocSel
3,STM,2,0.4,-0.2285,incompHetPrefAltLocSel
3,STH,2,0.4,-0.4678,incompHetPrefAltLocSel
3,STL,3,0.4,-0.3425,incompHetPrefAltLocSel
3,STM,3,0.4,-0.176,incompHetPrefAltLocSel
3,STH,3,0.4,-0.3243,incompHetPrefAltLocSel
3,STL,4,0.4,-0.1807,incompHetPrefAltLocSel
3,STM,4,0.4,-0.1951,incompHetPrefAltLocSel
3,STH,4,0.4,-0.1964,incompHetPrefAltLocSel
3,STL,5,0.4,-0.1136,incompHetPrefAltLocSel
3,STM,5,0.4,-0.1667,incompHetPrefAltLocSel
3,STH,5,0.4,-0.2171,incompHetPrefAltLocSel
3,STL,6,0.4,-0.1264,incompHetPrefAltLocSel
3,STM,6,0.4,0.0134,incompHetPrefAltLocSel
3,STH,6,0.4,-0.2528,incompHetPrefAltLocSel
3,STL,7,0.4,-0.1264,incompHetPrefAltLocSel
3,STM,7,0.4,-0.0316,incompHetPrefAltLocSel
3,STH,7,0.4,-0.2379,incompHetPrefAltLocSel
3,STL,8,0.4,-0.1807,incompHetPrefAltLocSel
3,STM,8,0.4,-0.1807,incompHetPrefAltLocSel
3,STH,8,0.4,-0.176,incompHetPrefAltLocSel
3,STL,9,0.4,-0.1529,incompHetPrefAltLocSel
3,STM,9,0.4,-0.1807,incompHetPrefAltLocSel
3,STH,9,0.4,-0.1951,incompHetPrefAltLocSel
3,STL,10,0.4,-0.1264,incompHetPrefAltLocSel
