replicate,pop,gen,disS,H0,selModel
1,STL,1,0.4,1,incompHetPrefAltLocSel
1,STM,1,0.4,1,incompHetPrefAltLocSel
1,STH,1,0.4,1,incompHetPrefAltLocSel
1,STL,2,0.4,0.56,incompHetPrefAltLocSel
1,STM,2,0.4,0.66,incompHetPrefAltLocSel
1,STH,2,0.4,0.6,incompHetPrefAltLocSel
1,STL,3,0.4,0.54,incompHetPrefAltLocSel
1,STM,3,0.4,0.46,incompHetPrefAltLocSel
1,STH,3,0.4,0.62,incompHetPrefAltLocSel
1,STL,4,0.4,0.4,incompHetPrefAltLocSel
1,STM,4,0.4,0.44,incompHetPrefAltLocSel
1,STH,4,0.4,0.46,incompHetPrefAltLocSel
1,STL,5,0.4,0.28,incompHetPrefAltLocSel
1,STM,5,0.4,0.46,incompHetPrefAltLocSel
1,STH,5,0.4,0.28,incompHetPrefAltLocSel
1,STL,6,0.4,0.24,incompHetPrefAltLocSel
1,STM,6,0.4,0.4,incompHetPrefAltLocSel
1,STH,6,0.4,0.34,incompHetPrefAltLocSel
1,STL,7,0.4,0.22,incompHetPrefAltLocSel
1,STM,7,0.4,0.4,incompHetPrefAltLocSel
1,STH,7,0.4,0.22,incompHetPrefAltLocSel
1,STL,8,0.4,0.26,incompHetPrefAltLocSel
1,STM,8,0.4,0.28,incompHetPrefAltLocSel
1,STH,8,0.4,0.24,incompHetPrefAltLocSel
1,STL,9,0.4,0.24,incompHetPrefAltLocSel
1,STM,9,0.4,0.28,incompHetPrefAltLocSel
1,STH,9,0.4,0.26,incompHetPrefAltLocSel
1,STL,10,0.4,0.22,incompHetPrefAltLocSel
1,STM,10,0.4,0.26,incompHetPrefAltLocSel
1,STH,10,0.4,0.3,incompHetPrefAltLocSel
1,STL,11,0.4,0.3,incompHetPrefAltLocSel
1,STM,11,0.4,0.22,incompHetPrefAltLocSel
1,STH,11,0.4,0.26,incompHetPrefAltLocSel
1,STL,12,0.4,0.28,incompHetPrefAltLocSel
1,STM,12,0.4,0.16,incompHetPrefAltLocSel
1,STH,12,0.4,0.2,incompHetPrefAltLocSel
1,STL,13,0.4,0.3,incompHetPrefAltLocSel
1,STM,13,0.4,0.12,incompHetPrefAltLocSel
1,STH,13,0.4,0.18,incompHetPrefAltLocSel
1,STL,14,0.4,0.26,incompHetPrefAltLocSel
1,STM,14,0.4,0.14,incompHetPrefAltLocSel
1,STH,14,0.4,0.14,incompHetPrefAltLocSel
1,STL,15,0.4,0.38,incompHetPrefAltLocSel
1,STM,15,0.4,0.18,incompHetPrefAltLocSel
1,STH,15,0.4,0.18,incompHetPrefAltLocSel
1,STL,16,0.4,0.34,incompHetPrefAltLocSel
1,STM,16,0.4,0.14,incompHetPrefAltLocSel
1,STH,16,0.4,0.1,incompHetPrefAltLocSel
1,STL,17,0.4,0.2,incompHetPrefAltLocSel
1,STM,17,0.4,0.12,incompHetPrefAltLocSel
1,STH,17,0.4,0.14,incompHetPrefAltLocSel
1,STL,18,0.4,0.14,incompHetPrefAltLocSel
1,STM,18,0.4,0.12,incompHetPrefAltLocSel
1,STH,18,0.4,0.12,incompHetPrefAltLocSel
1,STL,19,0.4,0.16,incompHetPrefAltLocSel
1,STM,19,0.4,0.04,incompHetPrefAltLocSel
1,STH,19,0.4,0.08,incompHetPrefAltLocSel
1,STL,20,0.4,0.18,incompHetPrefAltLocSel
1,STM,20,0.4,0.04,incompHetPrefAltLocSel
1,STH,20,0.4,0.04,incompHetPrefAltLocSel
2,STL,1,0.4,1,incompHetPrefAltLocSel
2,STM,1,0.4,1,incompHetPrefAltLocSel
2,STH,1,0.4,1,incompHetPrefAltLocSel
2,STL,2,0.4,0.68,incompHetPrefAltLocSel
2,STM,2,0.4,0.72,incompHetPrefAltLocSel
2,STH,2,0.4,0.7,incompHetPrefAltLocSel
2,STL,3,0.4,0.56,incompHetPrefAltLocSel
2,STM,3,0.4,0.6,incompHetPrefAltLocSel
2,STH,3,0.4,0.46,incompHetPrefAltLocSel
2,STL,4,0.4,0.44,incompHetPrefAltLocSel
2,STM,4,0.4,0.48,incompHetPrefAltLocSel
2,STH,4,0.4,0.4,incompHetPrefAltLocSel
2,STL,5,0.4,0.36,incompHetPrefAltLocSel
2,STM,5,0.4,0.32,incompHetPrefAltLocSel
2,STH,5,0.4,0.28,incompHetPrefAltLocSel
2,STL,6,0.4,0.34,incompHetPrefAltLocSel
2,STM,6,0.4,0.26,incompHetPrefAltLocSel
2,STH,6,0.4,0.3,incompHetPrefAltLocSel
2,STL,7,0.4,0.26,incompHetPrefAltLocSel
2,STM,7,0.4,0.2,incompHetPrefAltLocSel
2,STH,7,0.4,0.42,incompHetPrefAltLocSel
2,STL,8,0.4,0.2,incompHetPrefAltLocSel
2,STM,8,0.4,0.18,incompHetPrefAltLocSel
2,STH,8,0.4,0.34,incompHetPrefAltLocSel
2,STL,9,0.4,0.22,incompHetPrefAltLocSel
2,STM,9,0.4,0.22,incompHetPrefAltLocSel
2,STH,9,0.4,0.4,incompHetPrefAltLocSel
2,STL,10,0.4,0.12,incompHetPrefAltLocSel
2,STM,10,0.4,0.22,incompHetPrefAltLocSel
2,STH,10,0.4,0.36,incompHetPrefAltLocSel
2,STL,11,0.4,0.12,incompHetPrefAltLocSel
2,STM,11,0.4,0.18,incompHetPrefAltLocSel
2,STH,11,0.4,0.3,incompHetPrefAltLocSel
2,STL,12,0.4,0.06,incompHetPrefAltLocSel
2,STM,12,0.4,0.26,incompHetPrefAltLocSel
2,STH,12,0.4,0.28,incompHetPrefAltLocSel
2,STL,13,0.4,0.1,incompHetPrefAltLocSel
2,STM,13,0.4,0.22,incompHetPrefAltLocSel
2,STH,13,0.4,0.2,incompHetPrefAltLocSel
2,STL,14,0.4,0.06,incompHetPrefAltLocSel
2,STM,14,0.4,0.12,incompHetPrefAltLocSel
2,STH,14,0.4,0.2,incompHetPrefAltLocSel
2,STL,15,0.4,0.08,incompHetPrefAltLocSel
2,STM,15,0.4,0.12,incompHetPrefAltLocSel
2,STH,15,0.4,0.1,incompHetPrefAltLocSel
2,STL,16,0.4,0.08,incompHetPrefAltLocSel
2,STM,16,0.4,0.08,incompHetPrefAltLocSel
2,STH,16,0.4,0.02,incompHetPrefAltLocSel
2,STL,17,0.4,0.1,incompHetPrefAltLocSel
2,STM,17,0.4,0.02,incompHetPrefAltLocSel
2,STH,17,0.4,0,incompHetPrefAltLocSel
2,STL,18,0.4,0.06,incompHetPrefAltLocSel
2,STM,18,0.4,0.02,incompHetPrefAltLocSel
2,STH,18,0.4,0,incompHetPrefAltLocSel
2,STL,19,0.4,0.1,incompHetPrefAltLocSel
2,STM,19,0.4,0.02,incompHetPrefAltLocSel
2,STH,19,0.4,0,incompHetPrefAltLocSel
2,STL,20,0.4,0.12,incompHetPrefAltLocSel
2,STM,20,0.4,0.04,incompHetPrefAltLocSel
2,STH,20,0.4,0,incompHetPrefAltLocSel
3,STL,1,0.4,1,incompHetPrefAltLocSel
3,STM,1,0.4,1,incompHetPrefAltLocSel
3,STH,1,0.4,1,incompHetPrefAltLocSel
3,STL,2,0.4,0.58,incompHetPrefAltLocSel
3,STM,2,0.4,0.52,incompHetPrefAltLocSel
3,STH,2,0.4,0.68,incompHetPrefAltLocSel
3,STL,3,0.4,0.52,incompHetPrefAltLocSel
3,STM,3,0.4,0.42,incompHetPrefAltLocSel
3,STH,3,0.4,0.56,incompHetPrefAltLocSel
3,STL,4,0.4,0.32,incompHetPrefAltLocSel
3,STM,4,0.4,0.34,incompHetPrefAltLocSel
3,STH,4,0.4,0.44,incompHetPrefAltLocSel
3,STL,5,0.4,0.22,incompHetPrefAltLocSel
3,STM,5,0.4,0.3,incompHetPrefAltLocSel
3,STH,5,0.4,0.46,incompHetPrefAltLocSel
3,STL,6,0.4,0.24,incompHetPrefAltLocSel
3,STM,6,0.4,0.24,incompHetPrefAltLocSel
3,STH,6,0.4,0.54,incompHetPrefAltLocSel
3,STL,7,0.4,0.24,incompHetPrefAltLocSel
3,STM,7,0.4,0.28,incompHetPrefAltLocSel
3,STH,7,0.4,0.48,incompHetPrefAltLocSel
3,STL,8,0.4,0.32,incompHetPrefAltLocSel
3,STM,8,0.4,0.32,incompHetPrefAltLocSel
3,STH,8,0.4,0.42,incompHetPrefAltLocSel
3,STL,9,0.4,0.28,incompHetPrefAltLocSel
3,STM,9,0.4,0.32,incompHetPrefAltLocSel
3,STH,9,0.4,0.34,incompHetPrefAltLocSel
3,STL,10,0.4,0.24,incompHetPrefAltLocSel
3,STM,10,0.4,0.4,incompHetPrefAltLocSel
3,STH,10,0.4,0.2,incompHetPrefAltLocSel
3,STL,11,0.4,0.22,incompHetPrefAltLocSel
3,STM,11,0.4,0.38,incompHetPrefAltLocSel
3,STH,11,0.4,0.2,incompHetPrefAltLocSel
3,STL,12,0.4,0.36,incompHetPrefAltLocSel
3,STM,12,0.4,0.32,incompHetPrefAltLocSel
3,STH,12,0.4,0.2,incompHetPrefAltLocSel
3,STL,13,0.4,0.16,incompHetPrefAltLocSel
3,STM,13,0.4,0.3,incompHetPrefAltLocSel
