replicate,pop,gen,disS,Fis,selModel
1,STL,1,0.6,-1,incompHetPrefSel
1,STM,1,0.6,-1,incompHetPrefSel
1,STH,1,0.6,-1,incompHetPrefSel
1,STL,2,0.6,-0.4678,incompHetPrefSel
1,STM,2,0.6,-0.5312,incompHetPrefSel
1,STH,2,0.6,-0.4425,incompHetPrefSel
1,STL,3,0.6,-0.4627,incompHetPrefSel
1,STM,3,0.6,-0.5806,incompHetPrefSel
1,STH,3,0.6,-0.2285,incompHetPrefSel
1,STL,4,0.6,-0.3611,incompHetPrefSel
1,STM,4,0.6,-0.3494,incompHetPrefSel
1,STH,4,0.6,-0.1335,incompHetPrefSel
1,STL,5,0.6,-0.3279,incompHetPrefSel
1,STM,5,0.6,-0.3243,incompHetPrefSel
1,STH,5,0.6,-0.4412,incompHetPrefSel
1,STL,6,0.6,-0.3936,incompHetPrefSel
1,STM,6,0.6,-0.1557,incompHetPrefSel
1,STH,6,0.6,-0.3243,incompHetPrefSel
1,STL,7,0.6,-0.3022,incompHetPrefSel
1,STM,7,0.6,-0.3067,incompHetPrefSel
1,STH,7,0.6,-0.2804,incompHetPrefSel
1,STL,8,0.6,-0.3067,incompHetPrefSel
1,STM,8,0.6,-0.3425,incompHetPrefSel
1,STH,8,0.6,-0.1964,incompHetPrefSel
1,STL,9,0.6,-0.3803,incompHetPrefSel
1,STM,9,0.6,-0.2171,incompHetPrefSel
1,STH,9,0.6,-0.1964,incompHetPrefSel
1,STL,10,0.6,-0.225,incompHetPrefSel
1,STM,10,0.6,-0.4627,incompHetPrefSel
1,STH,10,0.6,-0.2564,incompHetPrefSel
1,STL,11,0.6,-0.0946,incompHetPrefSel
1,STM,11,0.6,-0.3067,incompHetPrefSel
1,STH,11,0.6,-0.115,incompHetPrefSel
1,STL,12,0.6,-0.2727,incompHetPrefSel
1,STM,12,0.6,-0.2895,incompHetPrefSel
1,STH,12,0.6,-0.1951,incompHetPrefSel
1,STL,13,0.6,-0.3425,incompHetPrefSel
1,STM,13,0.6,-0.3243,incompHetPrefSel
1,STH,13,0.6,-0.1951,incompHetPrefSel
1,STL,14,0.6,-0.3611,incompHetPrefSel
1,STM,14,0.6,-0.3803,incompHetPrefSel
1,STH,14,0.6,-0.1667,incompHetPrefSel
1,STL,15,0.6,-0.2171,incompHetPrefSel
1,STM,15,0.6,-0.3425,incompHetPrefSel
1,STH,15,0.6,-0.1557,incompHetPrefSel
1,STL,16,0.6,-0.2727,incompHetPrefSel
1,STM,16,0.6,-0.2727,incompHetPrefSel
1,STH,16,0.6,-0.1354,incompHetPrefSel
1,STL,17,0.6,-0.2099,incompHetPrefSel
1,STM,17,0.6,-0.2171,incompHetPrefSel
1,STH,17,0.6,-0.2564,incompHetPrefSel
1,STL,18,0.6,-0.1529,incompHetPrefSel
1,STM,18,0.6,-0.2564,incompHetPrefSel
1,STH,18,0.6,-0.3067,incompHetPrefSel
1,STL,19,0.6,-0.1951,incompHetPrefSel
1,STM,19,0.6,-0.1951,incompHetPrefSel
1,STH,19,0.6,-0.2895,incompHetPrefSel
1,STL,20,0.6,-0.115,incompHetPrefSel
1,STM,20,0.6,-0.2564,incompHetPrefSel
1,STH,20,0.6,-0.1807,incompHetPrefSel
2,STL,1,0.6,-1,incompHetPrefSel
2,STM,1,0.6,-1,incompHetPrefSel
2,STH,1,0.6,-1,incompHetPrefSel
2,STL,2,0.6,-0.3025,incompHetPrefSel
2,STM,2,0.6,-0.3936,incompHetPrefSel
2,STH,2,0.6,-0.4939,incompHetPrefSel
2,STL,3,0.6,-0.4848,incompHetPrefSel
2,STM,3,0.6,-0.4,incompHetPrefSel
2,STH,3,0.6,-0.4678,incompHetPrefSel
2,STL,4,0.6,-0.4412,incompHetPrefSel
2,STM,4,0.6,-0.2727,incompHetPrefSel
2,STH,4,0.6,-0.3469,incompHetPrefSel
2,STL,5,0.6,-0.2895,incompHetPrefSel
2,STM,5,0.6,-0.3425,incompHetPrefSel
2,STH,5,0.6,-0.3243,incompHetPrefSel
2,STL,6,0.6,-0.2379,incompHetPrefSel
2,STM,6,0.6,-0.2895,incompHetPrefSel
2,STH,6,0.6,-0.2171,incompHetPrefSel
2,STL,7,0.6,-0.3022,incompHetPrefSel
2,STM,7,0.6,-0.2727,incompHetPrefSel
2,STH,7,0.6,-0.3067,incompHetPrefSel
2,STL,8,0.6,-0.3022,incompHetPrefSel
2,STM,8,0.6,-0.4203,incompHetPrefSel
2,STH,8,0.6,-0.3067,incompHetPrefSel
2,STL,9,0.6,0.0101,incompHetPrefSel
2,STM,9,0.6,-0.2804,incompHetPrefSel
2,STH,9,0.6,-0.0146,incompHetPrefSel
2,STL,10,0.6,-0.053,incompHetPrefSel
2,STM,10,0.6,-0.3611,incompHetPrefSel
2,STH,10,0.6,-0.1557,incompHetPrefSel
2,STL,11,0.6,-0.1951,incompHetPrefSel
2,STM,11,0.6,-0.1807,incompHetPrefSel
2,STH,11,0.6,-0.259,incompHetPrefSel
2,STL,12,0.6,-0.225,incompHetPrefSel
2,STM,12,0.6,-0.1951,incompHetPrefSel
2,STH,12,0.6,-0.3425,incompHetPrefSel
2,STL,13,0.6,-0.2895,incompHetPrefSel
2,STM,13,0.6,-0.2405,incompHetPrefSel
2,STH,13,0.6,-0.259,incompHetPrefSel
2,STL,14,0.6,-0.225,incompHetPrefSel
2,STM,14,0.6,-0.2727,incompHetPrefSel
2,STH,14,0.6,-0.115,incompHetPrefSel
2,STL,15,0.6,-0.1951,incompHetPrefSel
2,STM,15,0.6,-0.4,incompHetPrefSel
2,STH,15,0.6,-0.2405,incompHetPrefSel
2,STL,16,0.6,-0.2099,incompHetPrefSel
