replicate,pop,gen,odomS,Fis,selModel
1,STL,1,0.6,-1,incompODomSel
1,STM,1,0.6,-1,incompODomSel
1,STH,1,0.6,-1,incompODomSel
1,STL,2,0.6,-0.453,incompODomSel
1,STM,2,0.6,-0.8029,incompODomSel
1,STH,2,0.6,-0.4939,incompODomSel
1,STL,3,0.6,-0.5225,incompODomSel
1,STM,3,0.6,-0.7557,incompODomSel
1,STH,3,0.6,-0.5766,incompODomSel
1,STL,4,0.6,-0.7327,incompODomSel
1,STM,4,0.6,-0.5766,incompODomSel
1,STH,4,0.6,-0.6361,incompODomSel
1,STL,5,0.6,-0.4939,incompODomSel
1,STM,5,0.6,-0.5766,incompODomSel
1,STH,5,0.6,-0.5766,incompODomSel
1,STL,6,0.6,-0.6333,incompODomSel
1,STM,6,0.6,-0.5077,incompODomSel
1,STH,6,0.6,-0.4197,incompODomSel
1,STL,7,0.6,-0.5223,incompODomSel
1,STM,7,0.6,-0.4425,incompODomSel
1,STH,7,0.6,-0.5207,incompODomSel
1,STL,8,0.6,-0.5482,incompODomSel
1,STM,8,0.6,-0.5223,incompODomSel
1,STH,8,0.6,-0.6066,incompODomSel
1,STL,9,0.6,-0.6994,incompODomSel
1,STM,9,0.6,-0.5766,incompODomSel
1,STH,9,0.6,-0.4939,incompODomSel
1,STL,10,0.6,-0.5223,incompODomSel
1,STM,10,0.6,-0.553,incompODomSel
1,STH,10,0.6,-0.6994,incompODomSel
1,STL,11,0.6,-0.5766,incompODomSel
1,STM,11,0.6,-0.6333,incompODomSel
1,STH,11,0.6,-0.6897,incompODomSel
1,STL,12,0.6,-0.6059,incompODomSel
1,STM,12,0.6,-0.6066,incompODomSel
1,STH,12,0.6,-0.6897,incompODomSel
1,STL,13,0.6,-0.4924,incompODomSel
1,STM,13,0.6,-0.47,incompODomSel
1,STH,13,0.6,-0.4678,incompODomSel
1,STL,14,0.6,-0.5806,incompODomSel
1,STM,14,0.6,-0.535,incompODomSel
1,STH,14,0.6,-0.5766,incompODomSel
1,STL,15,0.6,-0.5077,incompODomSel
1,STM,15,0.6,-0.553,incompODomSel
1,STH,15,0.6,-0.6059,incompODomSel
1,STL,16,0.6,-0.4678,incompODomSel
1,STM,16,0.6,-0.6059,incompODomSel
1,STH,16,0.6,-0.535,incompODomSel
1,STL,17,0.6,-0.37,incompODomSel
1,STM,17,0.6,-0.5556,incompODomSel
1,STH,17,0.6,-0.7193,incompODomSel
1,STL,18,0.6,-0.6333,incompODomSel
