replicate,pop,gen,odomS,Fis,selModel
1,STL,1,0.2,-1,incompODomSel
1,STM,1,0.2,-1,incompODomSel
1,STH,1,0.2,-1,incompODomSel
1,STL,2,0.2,-0.3494,incompODomSel
1,STM,2,0.2,-0.3785,incompODomSel
1,STH,2,0.2,-0.4939,incompODomSel
1,STL,3,0.2,-0.5556,incompODomSel
1,STM,3,0.2,-0.225,incompODomSel
1,STH,3,0.2,-0.1589,incompODomSel
1,STL,4,0.2,-0.4,incompODomSel
1,STM,4,0.2,-0.225,incompODomSel
1,STH,4,0.2,-0.4,incompODomSel
1,STL,5,0.2,-0.2379,incompODomSel
1,STM,5,0.2,-0.2727,incompODomSel
1,STH,5,0.2,-0.2379,incompODomSel
1,STL,6,0.2,-0.3243,incompODomSel
1,STM,6,0.2,-0.2564,incompODomSel
1,STH,6,0.2,-0.2895,incompODomSel
1,STL,7,0.2,-0.225,incompODomSel
1,STM,7,0.2,-0.1557,incompODomSel
1,STH,7,0.2,-0.2564,incompODomSel
1,STL,8,0.2,0.0375,incompODomSel
1,STM,8,0.2,-0.3067,incompODomSel
1,STH,8,0.2,-0.2379,incompODomSel
1,STL,9,0.2,-0.1667,incompODomSel
1,STM,9,0.2,-0.2895,incompODomSel
1,STH,9,0.2,-0.2727,incompODomSel
1,STL,10,0.2,-0.2564,incompODomSel
1,STM,10,0.2,-0.2727,incompODomSel
1,STH,10,0.2,-0.2727,incompODomSel
1,STL,11,0.2,-0.3067,incompODomSel
1,STM,11,0.2,-0.2895,incompODomSel
1,STH,11,0.2,-0.1395,incompODomSel
1,STL,12,0.2,-0.1951,incompODomSel
1,STM,12,0.2,-0.4,incompODomSel
1,STH,12,0.2,-0.1951,incompODomSel
1,STL,13,0.2,-0.1395,incompODomSel
1,STM,13,0.2,-0.3067,incompODomSel
1,STH,13,0.2,-0.2405,incompODomSel
1,STL,14,0.2,-0.1136,incompODomSel
1,STM,14,0.2,-0.2564,incompODomSel
1,STH,14,0.2,-0.1807,incompODomSel
1,STL,15,0.2,-0.1011,incompODomSel
1,STM,15,0.2,-0.1951,incompODomSel
1,STH,15,0.2,-0.225,incompODomSel
1,STL,16,0.2,-0.1011,incompODomSel
1,STM,16,0.2,-0.1667,incompODomSel
1,STH,16,0.2,-0.1667,incompODomSel
1,STL,17,0.2,-0.0652,incompODomSel
1,STM,17,0.2,-0.0316,incompODomSel
1,STH,17,0.2,-0.2099,incompODomSel
1,STL,18,0.2,-0.0538,incompODomSel
1,STM,18,0.2,-0.1395,incompODomSel
1,STH,18,0.2,-0.225,incompODomSel
1,STL,19,0.2,-0.0769,incompODomSel
1,STM,19,0.2,-0.1264,incompODomSel
1,STH,19,0.2,-0.1807,incompODomSel
1,STL,20,0.2,-0.0652,incompODomSel
1,STM,20,0.2,-0.2099,incompODomSel
1,STH,20,0.2,-0.1529,incompODomSel
2,STL,1,0.2,-1,incompODomSel
2,STM,1,0.2,-1,incompODomSel
2,STH,1,0.2,-1,incompODomSel
2,STL,2,0.2,-0.47,incompODomSel
2,STM,2,0.2,-0.4073,incompODomSel
2,STH,2,0.2,-0.5766,incompODomSel
2,STL,3,0.2,-0.4678,incompODomSel
2,STM,3,0.2,-0.3279,incompODomSel
2,STH,3,0.2,-0.2383,incompODomSel
2,STL,4,0.2,-0.1488,incompODomSel
2,STM,4,0.2,-0.2775,incompODomSel
2,STH,4,0.2,-0.4425,incompODomSel
2,STL,5,0.2,-0.5312,incompODomSel
2,STM,5,0.2,-0.3022,incompODomSel
2,STH,5,0.2,-0.2285,incompODomSel
2,STL,6,0.2,-0.1807,incompODomSel
2,STM,6,0.2,-0.2895,incompODomSel
2,STH,6,0.2,-0.176,incompODomSel
2,STL,7,0.2,-0.3243,incompODomSel
2,STM,7,0.2,-0.2405,incompODomSel
2,STH,7,0.2,-0.3425,incompODomSel
2,STL,8,0.2,-0.1335,incompODomSel
2,STM,8,0.2,-0.0946,incompODomSel
2,STH,8,0.2,-0.1807,incompODomSel
2,STL,9,0.2,-0.2895,incompODomSel
2,STM,9,0.2,-0.1951,incompODomSel
2,STH,9,0.2,-0.1395,incompODomSel
2,STL,10,0.2,-0.0946,incompODomSel
2,STM,10,0.2,-0.225,incompODomSel
2,STH,10,0.2,-0.1807,incompODomSel
2,STL,11,0.2,-0.2099,incompODomSel
2,STM,11,0.2,-0.1807,incompODomSel
2,STH,11,0.2,-0.2099,incompODomSel
2,STL,12,0.2,-0.225,incompODomSel
2,STM,12,0.2,-0.1951,incompODomSel
2,STH,12,0.2,-0.2405,incompODomSel
2,STL,13,0.2,-0.1951,incompODomSel
2,STM,13,0.2,-0.1264,incompODomSel
2,STH,13,0.2,-0.2099,incompODomSel
2,STL,14,0.2,-0.1667,incompODomSel
2,STM,14,0.2,-0.1395,incompODomSel
2,STH,14,0.2,-0.1667,incompODomSel
2,STL,15,0.2,-0.1667,incompODomSel
2,STM,15,0.2,-0.1011,incompODomSel
2,STH,15,0.2,-0.2099,incompODomSel
2,STL,16,0.2,-0.225,incompODomSel
2,STM,16,0.2,-0.1136,incompODomSel
2,STH,16,0.2,-0.2564,incompODomSel
2,STL,17,0.2,-0.074,incompODomSel
2,STM,17,0.2,-0.0538,incompODomSel
2,STH,17,0.2,-0.1395,incompODomSel
2,STL,18,0.2,-0.2099,incompODomSel
2,STM,18,0.2,-0.0652,incompODomSel
2,STH,18,0.2,-0.1667,incompODomSel
2,STL,19,0.2,-0.0889,incompODomSel
2,STM,19,0.2,-0.1136,incompODomSel
2,STH,19,0.2,-0.1264,incompODomSel
2,STL,20,0.2,0.0375,incompODomSel
2,STM,20,0.2,-0.1136,incompODomSel
2,STH,20,0.2,-0.1011,incompODomSel
3,STL,1,0.2,-1,incompODomSel
3,STM,1,0.2,-1,incompODomSel
3,STH,1,0.2,-1,incompODomSel
3,STL,2,0.2,-0.6066,incompODomSel
3,STM,2,0.2,-0.553,incompODomSel
3,STH,2,0.2,-0.553,incompODomSel
3,STL,3,0.2,-0.4203,incompODomSel
3,STM,3,0.2,-0.37,incompODomSel
3,STH,3,0.2,-0.4203,incompODomSel
3,STL,4,0.2,-0.4203,incompODomSel
3,STM,4,0.2,-0.3243,incompODomSel
3,STH,4,0.2,-0.1807,incompODomSel
3,STL,5,0.2,-0.3425,incompODomSel
