replicate,pop,gen,odomS,H0,selModel
1,STL,1,0.2,1,incompODomSel
1,STM,1,0.2,1,incompODomSel
1,STH,1,0.2,1,incompODomSel
1,STL,2,0.2,0.64,incompODomSel
1,STM,2,0.2,0.66,incompODomSel
1,STH,2,0.2,0.7,incompODomSel
1,STL,3,0.2,0.72,incompODomSel
1,STM,3,0.2,0.38,incompODomSel
1,STH,3,0.2,0.5,incompODomSel
1,STL,4,0.2,0.58,incompODomSel
1,STM,4,0.2,0.38,incompODomSel
1,STH,4,0.2,0.58,incompODomSel
1,STL,5,0.2,0.48,incompODomSel
1,STM,5,0.2,0.44,incompODomSel
1,STH,5,0.2,0.48,incompODomSel
1,STL,6,0.2,0.5,incompODomSel
1,STM,6,0.2,0.42,incompODomSel
1,STH,6,0.2,0.46,incompODomSel
1,STL,7,0.2,0.38,incompODomSel
1,STM,7,0.2,0.4,incompODomSel
1,STH,7,0.2,0.42,incompODomSel
1,STL,8,0.2,0.22,incompODomSel
1,STM,8,0.2,0.48,incompODomSel
1,STH,8,0.2,0.48,incompODomSel
1,STL,9,0.2,0.3,incompODomSel
1,STM,9,0.2,0.46,incompODomSel
1,STH,9,0.2,0.44,incompODomSel
1,STL,10,0.2,0.42,incompODomSel
1,STM,10,0.2,0.44,incompODomSel
1,STH,10,0.2,0.44,incompODomSel
1,STL,11,0.2,0.48,incompODomSel
1,STM,11,0.2,0.46,incompODomSel
1,STH,11,0.2,0.26,incompODomSel
1,STL,12,0.2,0.34,incompODomSel
1,STM,12,0.2,0.58,incompODomSel
1,STH,12,0.2,0.34,incompODomSel
1,STL,13,0.2,0.26,incompODomSel
1,STM,13,0.2,0.48,incompODomSel
1,STH,13,0.2,0.4,incompODomSel
1,STL,14,0.2,0.22,incompODomSel
1,STM,14,0.2,0.42,incompODomSel
1,STH,14,0.2,0.32,incompODomSel
1,STL,15,0.2,0.2,incompODomSel
1,STM,15,0.2,0.34,incompODomSel
1,STH,15,0.2,0.38,incompODomSel
1,STL,16,0.2,0.2,incompODomSel
1,STM,16,0.2,0.3,incompODomSel
1,STH,16,0.2,0.3,incompODomSel
1,STL,17,0.2,0.14,incompODomSel
1,STM,17,0.2,0.28,incompODomSel
1,STH,17,0.2,0.36,incompODomSel
1,STL,18,0.2,0.12,incompODomSel
1,STM,18,0.2,0.26,incompODomSel
1,STH,18,0.2,0.38,incompODomSel
1,STL,19,0.2,0.16,incompODomSel
1,STM,19,0.2,0.24,incompODomSel
1,STH,19,0.2,0.32,incompODomSel
1,STL,20,0.2,0.14,incompODomSel
1,STM,20,0.2,0.36,incompODomSel
1,STH,20,0.2,0.28,incompODomSel
2,STL,1,0.2,1,incompODomSel
2,STM,1,0.2,1,incompODomSel
2,STH,1,0.2,1,incompODomSel
2,STL,2,0.2,0.72,incompODomSel
2,STM,2,0.2,0.66,incompODomSel
2,STH,2,0.2,0.76,incompODomSel
2,STL,3,0.2,0.68,incompODomSel
2,STM,3,0.2,0.6,incompODomSel
2,STH,3,0.2,0.56,incompODomSel
2,STL,4,0.2,0.52,incompODomSel
2,STM,4,0.2,0.56,incompODomSel
2,STH,4,0.2,0.66,incompODomSel
2,STL,5,0.2,0.7,incompODomSel
2,STM,5,0.2,0.54,incompODomSel
2,STH,5,0.2,0.52,incompODomSel
2,STL,6,0.2,0.48,incompODomSel
2,STM,6,0.2,0.46,incompODomSel
2,STH,6,0.2,0.42,incompODomSel
2,STL,7,0.2,0.5,incompODomSel
2,STM,7,0.2,0.4,incompODomSel
2,STH,7,0.2,0.52,incompODomSel
2,STL,8,0.2,0.44,incompODomSel
2,STM,8,0.2,0.34,incompODomSel
2,STH,8,0.2,0.32,incompODomSel
2,STL,9,0.2,0.46,incompODomSel
2,STM,9,0.2,0.34,incompODomSel
2,STH,9,0.2,0.26,incompODomSel
2,STL,10,0.2,0.34,incompODomSel
2,STM,10,0.2,0.38,incompODomSel
2,STH,10,0.2,0.32,incompODomSel
2,STL,11,0.2,0.36,incompODomSel
2,STM,11,0.2,0.32,incompODomSel
2,STH,11,0.2,0.36,incompODomSel
2,STL,12,0.2,0.38,incompODomSel
2,STM,12,0.2,0.34,incompODomSel
2,STH,12,0.2,0.4,incompODomSel
2,STL,13,0.2,0.34,incompODomSel
2,STM,13,0.2,0.24,incompODomSel
2,STH,13,0.2,0.36,incompODomSel
2,STL,14,0.2,0.3,incompODomSel
2,STM,14,0.2,0.26,incompODomSel
2,STH,14,0.2,0.3,incompODomSel
2,STL,15,0.2,0.3,incompODomSel
2,STM,15,0.2,0.2,incompODomSel
2,STH,15,0.2,0.36,incompODomSel
2,STL,16,0.2,0.38,incompODomSel
2,STM,16,0.2,0.22,incompODomSel
2,STH,16,0.2,0.42,incompODomSel
2,STL,17,0.2,0.32,incompODomSel
2,STM,17,0.2,0.12,incompODomSel
2,STH,17,0.2,0.26,incompODomSel
2,STL,18,0.2,0.36,incompODomSel
2,STM,18,0.2,0.14,incompODomSel
2,STH,18,0.2,0.3,incompODomSel
2,STL,19,0.2,0.18,incompODomSel
2,STM,19,0.2,0.22,incompODomSel
2,STH,19,0.2,0.24,incompODomSel
2,STL,20,0.2,0.22,incompODomSel
2,STM,20,0.2,0.22,incompODomSel
2,STH,20,0.2,0.2,incompODomSel
3,STL,1,0.2,1,incompODomSel
3,STM,1,0.2,1,incompODomSel
3,STH,1,0.2,1,incompODomSel
3,STL,2,0.2,0.76,incompODomSel
3,STM,2,0.2,0.76,incompODomSel
3,STH,2,0.2,0.76,incompODomSel
3,STL,3,0.2,0.6,incompODomSel
3,STM,3,0.2,0.6,incompODomSel
3,STH,3,0.2,0.6,incompODomSel
3,STL,4,0.2,0.6,incompODomSel
3,STM,4,0.2,0.5,incompODomSel
3,STH,4,0.2,0.48,incompODomSel
3,STL,5,0.2,0.52,incompODomSel
3,STM,5,0.2,0.48,incompODomSel
3,STH,5,0.2,0.6,incompODomSel
3,STL,6,0.2,0.38,incompODomSel
3,STM,6,0.2,0.44,incompODomSel
3,STH,6,0.2,0.6,incompODomSel
3,STL,7,0.2,0.4,incompODomSel
3,STM,7,0.2,0.38,incompODomSel
3,STH,7,0.2,0.5,incompODomSel
3,STL,8,0.2,0.32,incompODomSel
3,STM,8,0.2,0.5,incompODomSel
3,STH,8,0.2,0.54,incompODomSel
