replicate,pop,gen,odomS,Fis,selModel
1,STL,1,0.91,-1,incompODomSexDistSel
1,STM,1,0.91,-1,incompODomSexDistSel
1,STH,1,0.91,-1,incompODomSexDistSel
1,STL,2,0.91,-0.7971,incompODomSexDistSel
1,STM,2,0.91,-0.8785,incompODomSexDistSel
1,STH,2,0.91,-0.9216,incompODomSexDistSel
1,STL,3,0.91,-0.8029,incompODomSexDistSel
1,STM,3,0.91,-0.7672,incompODomSexDistSel
1,STH,3,0.91,-0.837,incompODomSexDistSel
1,STL,4,0.91,-0.84,incompODomSexDistSel
1,STM,4,0.91,-0.9184,incompODomSexDistSel
1,STH,4,0.91,-1,incompODomSexDistSel
1,STL,5,0.91,-0.7971,incompODomSexDistSel
1,STM,5,0.91,-0.9184,incompODomSexDistSel
1,STH,5,0.91,-0.8846,incompODomSexDistSel
1,STL,6,0.91,-0.9184,incompODomSexDistSel
1,STM,6,0.91,-0.8846,incompODomSexDistSel
1,STH,6,0.91,-0.6773,incompODomSexDistSel
1,STL,7,0.91,-0.7158,incompODomSexDistSel
1,STM,7,0.91,-0.9184,incompODomSexDistSel
1,STH,7,0.91,-0.837,incompODomSexDistSel
1,STL,8,0.91,-0.8785,incompODomSexDistSel
1,STM,8,0.91,-0.96,incompODomSexDistSel
1,STH,8,0.91,-0.84,incompODomSexDistSel
1,STL,9,0.91,-0.8029,incompODomSexDistSel
1,STM,9,0.91,-0.9216,incompODomSexDistSel
1,STH,9,0.91,-0.9216,incompODomSexDistSel
1,STL,10,0.91,-0.7971,incompODomSexDistSel
1,STM,10,0.91,-0.84,incompODomSexDistSel
1,STH,10,0.91,-0.96,incompODomSexDistSel
1,STL,11,0.91,-0.96,incompODomSexDistSel
1,STM,11,0.91,-0.7586,incompODomSexDistSel
1,STH,11,0.91,-0.84,incompODomSexDistSel
1,STL,12,0.91,-0.7971,incompODomSexDistSel
1,STM,12,0.91,-0.837,incompODomSexDistSel
1,STH,12,0.91,-0.84,incompODomSexDistSel
1,STL,13,0.91,-0.7971,incompODomSexDistSel
1,STM,13,0.91,-0.7557,incompODomSexDistSel
1,STH,13,0.91,-0.8846,incompODomSexDistSel
1,STL,14,0.91,-0.8491,incompODomSexDistSel
