replicate,pop,gen,V4,selModel
1,STL,1,-1,incompSel
1,STM,1,-1,incompSel
1,STH,1,-1,incompSel
1,STL,2,-0.3022,incompSel
1,STM,2,-0.2775,incompSel
1,STH,2,-0.3243,incompSel
1,STL,3,-0.11,incompSel
1,STM,3,-0.4412,incompSel
1,STH,3,-0.3025,incompSel
1,STL,4,0.0616,incompSel
1,STM,4,-0.3243,incompSel
1,STH,4,-0.259,incompSel
1,STL,5,-0.1557,incompSel
1,STM,5,-0.1951,incompSel
1,STH,5,-0.2405,incompSel
1,STL,6,-0.225,incompSel
1,STM,6,-0.2727,incompSel
1,STH,6,-0.1136,incompSel
1,STL,7,-0.1951,incompSel
1,STM,7,-0.1667,incompSel
1,STH,7,-0.1011,incompSel
1,STL,8,-0.225,incompSel
1,STM,8,-0.0769,incompSel
1,STH,8,-0.0652,incompSel
1,STL,9,-0.1667,incompSel
1,STM,9,-0.0769,incompSel
1,STH,9,-0.0426,incompSel
1,STL,10,-0.1529,incompSel
1,STM,10,-0.0538,incompSel
1,STH,10,-0.0426,incompSel
1,STL,11,-0.1529,incompSel
1,STM,11,-0.0889,incompSel
1,STH,11,-0.0426,incompSel
1,STL,12,-0.1136,incompSel
1,STM,12,-0.0769,incompSel
1,STH,12,-0.0889,incompSel
1,STL,13,-0.1529,incompSel
1,STM,13,-0.1011,incompSel
1,STH,13,-0.0538,incompSel
1,STL,14,-0.1011,incompSel
1,STM,14,-0.0538,incompSel
1,STH,14,-0.0769,incompSel
1,STL,15,-0.1136,incompSel
1,STM,15,-0.0426,incompSel
1,STH,15,-0.0316,incompSel
1,STL,16,-0.1136,incompSel
1,STM,16,-0.0316,incompSel
1,STH,16,-0.0426,incompSel
1,STL,17,-0.0652,incompSel
1,STM,17,-0.0208,incompSel
1,STH,17,-0.0426,incompSel
1,STL,18,0.1552,incompSel
1,STM,18,NaN,incompSel
1,STH,18,-0.0426,incompSel
1,STL,19,-0.0889,incompSel
1,STM,19,NaN,incompSel
1,STH,19,-0.0538,incompSel
1,STL,20,-0.1011,incompSel
1,STM,20,NaN,incompSel
1,STH,20,-0.0208,incompSel
2,STL,1,-1,incompSel
2,STM,1,-1,incompSel
2,STH,1,-1,incompSel
2,STL,2,-0.3022,incompSel
2,STM,2,-0.2775,incompSel
2,STH,2,-0.3243,incompSel
2,STL,3,-0.11,incompSel
2,STM,3,-0.4412,incompSel
2,STH,3,-0.3025,incompSel
2,STL,4,0.0616,incompSel
2,STM,4,-0.3243,incompSel
2,STH,4,-0.259,incompSel
2,STL,5,-0.1557,incompSel
2,STM,5,-0.1951,incompSel
2,STH,5,-0.2405,incompSel
2,STL,6,-0.225,incompSel
2,STM,6,-0.2727,incompSel
2,STH,6,-0.1136,incompSel
2,STL,7,-0.1951,incompSel
2,STM,7,-0.1667,incompSel
2,STH,7,-0.1011,incompSel
2,STL,8,-0.225,incompSel
2,STM,8,-0.0769,incompSel
2,STH,8,-0.0652,incompSel
2,STL,9,-0.1667,incompSel
2,STM,9,-0.0769,incompSel
2,STH,9,-0.0426,incompSel
2,STL,10,-0.1529,incompSel
2,STM,10,-0.0538,incompSel
2,STH,10,-0.0426,incompSel
2,STL,11,-0.1529,incompSel
2,STM,11,-0.0889,incompSel
2,STH,11,-0.0426,incompSel
2,STL,12,-0.1136,incompSel
2,STM,12,-0.0769,incompSel
2,STH,12,-0.0889,incompSel
2,STL,13,-0.1529,incompSel
2,STM,13,-0.1011,incompSel
2,STH,13,-0.0538,incompSel
2,STL,14,-0.1011,incompSel
2,STM,14,-0.0538,incompSel
2,STH,14,-0.0769,incompSel
2,STL,15,-0.1136,incompSel
2,STM,15,-0.0426,incompSel
2,STH,15,-0.0316,incompSel
2,STL,16,-0.1136,incompSel
2,STM,16,-0.0316,incompSel
2,STH,16,-0.0426,incompSel
2,STL,17,-0.0652,incompSel
2,STM,17,-0.0208,incompSel
2,STH,17,-0.0426,incompSel
2,STL,18,0.1552,incompSel
2,STM,18,NaN,incompSel
2,STH,18,-0.0426,incompSel
2,STL,19,-0.0889,incompSel
2,STM,19,NaN,incompSel
2,STH,19,-0.0538,incompSel
2,STL,20,-0.1011,incompSel
2,STM,20,NaN,incompSel
2,STH,20,-0.0208,incompSel
3,STL,1,-1,incompSel
3,STM,1,-1,incompSel
3,STH,1,-1,incompSel
3,STL,2,-0.4177,incompSel
3,STM,2,-0.3554,incompSel
3,STH,2,-0.4627,incompSel
3,STL,3,-0.3243,incompSel
3,STM,3,-0.5077,incompSel
3,STH,3,-0.4,incompSel
3,STL,4,-0.1667,incompSel
3,STM,4,-0.2804,incompSel
3,STH,4,-0.3425,incompSel
3,STL,5,-0.1529,incompSel
3,STM,5,-0.2727,incompSel
3,STH,5,-0.3425,incompSel
3,STL,6,-0.2099,incompSel
3,STM,6,-0.2564,incompSel
3,STH,6,-0.2727,incompSel
3,STL,7,-0.2405,incompSel
3,STM,7,-0.2895,incompSel
3,STH,7,-0.1264,incompSel
3,STL,8,-0.1667,incompSel
3,STM,8,-0.2564,incompSel
3,STH,8,-0.1951,incompSel
3,STL,9,-0.225,incompSel
3,STM,9,-0.2099,incompSel
3,STH,9,-0.2099,incompSel
3,STL,10,0.1171,incompSel
3,STM,10,-0.0889,incompSel
3,STH,10,-0.1667,incompSel
3,STL,11,-0.1529,incompSel
3,STM,11,-0.0652,incompSel
3,STH,11,-0.1264,incompSel
