replicate,pop,gen,V4,selModel
1,STL,1,1,incompSel
1,STM,1,1,incompSel
1,STH,1,1,incompSel
1,STL,2,0.54,incompSel
1,STM,2,0.56,incompSel
1,STH,2,0.64,incompSel
1,STL,3,0.42,incompSel
1,STM,3,0.62,incompSel
1,STH,3,0.58,incompSel
1,STL,4,0.28,incompSel
1,STM,4,0.56,incompSel
1,STH,4,0.5,incompSel
1,STL,5,0.4,incompSel
1,STM,5,0.34,incompSel
1,STH,5,0.4,incompSel
1,STL,6,0.38,incompSel
1,STM,6,0.44,incompSel
1,STH,6,0.22,incompSel
1,STL,7,0.34,incompSel
1,STM,7,0.3,incompSel
1,STH,7,0.2,incompSel
1,STL,8,0.38,incompSel
1,STM,8,0.16,incompSel
1,STH,8,0.14,incompSel
1,STL,9,0.3,incompSel
1,STM,9,0.16,incompSel
1,STH,9,0.1,incompSel
1,STL,10,0.28,incompSel
1,STM,10,0.12,incompSel
1,STH,10,0.1,incompSel
1,STL,11,0.28,incompSel
1,STM,11,0.18,incompSel
1,STH,11,0.1,incompSel
1,STL,12,0.22,incompSel
1,STM,12,0.16,incompSel
1,STH,12,0.18,incompSel
1,STL,13,0.28,incompSel
1,STM,13,0.2,incompSel
1,STH,13,0.12,incompSel
1,STL,14,0.2,incompSel
1,STM,14,0.12,incompSel
1,STH,14,0.16,incompSel
1,STL,15,0.22,incompSel
1,STM,15,0.1,incompSel
1,STH,15,0.08,incompSel
1,STL,16,0.22,incompSel
1,STM,16,0.08,incompSel
1,STH,16,0.1,incompSel
1,STL,17,0.14,incompSel
1,STM,17,0.06,incompSel
1,STH,17,0.1,incompSel
1,STL,18,0.14,incompSel
1,STM,18,0,incompSel
1,STH,18,0.1,incompSel
1,STL,19,0.18,incompSel
1,STM,19,0,incompSel
1,STH,19,0.12,incompSel
1,STL,20,0.2,incompSel
1,STM,20,0,incompSel
1,STH,20,0.06,incompSel
2,STL,1,1,incompSel
2,STM,1,1,incompSel
2,STH,1,1,incompSel
2,STL,2,0.54,incompSel
2,STM,2,0.56,incompSel
2,STH,2,0.64,incompSel
2,STL,3,0.42,incompSel
2,STM,3,0.62,incompSel
2,STH,3,0.58,incompSel
2,STL,4,0.28,incompSel
2,STM,4,0.56,incompSel
2,STH,4,0.5,incompSel
2,STL,5,0.4,incompSel
2,STM,5,0.34,incompSel
2,STH,5,0.4,incompSel
2,STL,6,0.38,incompSel
2,STM,6,0.44,incompSel
2,STH,6,0.22,incompSel
2,STL,7,0.34,incompSel
2,STM,7,0.3,incompSel
2,STH,7,0.2,incompSel
2,STL,8,0.38,incompSel
2,STM,8,0.16,incompSel
2,STH,8,0.14,incompSel
2,STL,9,0.3,incompSel
2,STM,9,0.16,incompSel
2,STH,9,0.1,incompSel
2,STL,10,0.28,incompSel
2,STM,10,0.12,incompSel
2,STH,10,0.1,incompSel
2,STL,11,0.28,incompSel
2,STM,11,0.18,incompSel
2,STH,11,0.1,incompSel
2,STL,12,0.22,incompSel
2,STM,12,0.16,incompSel
2,STH,12,0.18,incompSel
2,STL,13,0.28,incompSel
2,STM,13,0.2,incompSel
2,STH,13,0.12,incompSel
2,STL,14,0.2,incompSel
2,STM,14,0.12,incompSel
2,STH,14,0.16,incompSel
2,STL,15,0.22,incompSel
2,STM,15,0.1,incompSel
2,STH,15,0.08,incompSel
2,STL,16,0.22,incompSel
2,STM,16,0.08,incompSel
2,STH,16,0.1,incompSel
2,STL,17,0.14,incompSel
2,STM,17,0.06,incompSel
2,STH,17,0.1,incompSel
2,STL,18,0.14,incompSel
2,STM,18,0,incompSel
2,STH,18,0.1,incompSel
2,STL,19,0.18,incompSel
2,STM,19,0,incompSel
2,STH,19,0.12,incompSel
2,STL,20,0.2,incompSel
2,STM,20,0,incompSel
2,STH,20,0.06,incompSel
3,STL,1,1,incompSel
3,STM,1,1,incompSel
3,STH,1,1,incompSel
3,STL,2,0.64,incompSel
3,STM,2,0.66,incompSel
3,STH,2,0.64,incompSel
3,STL,3,0.5,incompSel
3,STM,3,0.68,incompSel
3,STH,3,0.58,incompSel
3,STL,4,0.3,incompSel
3,STM,4,0.52,incompSel
3,STH,4,0.52,incompSel
3,STL,5,0.28,incompSel
3,STM,5,0.44,incompSel
3,STH,5,0.52,incompSel
3,STL,6,0.36,incompSel
3,STM,6,0.42,incompSel
3,STH,6,0.44,incompSel
3,STL,7,0.4,incompSel
3,STM,7,0.46,incompSel
3,STH,7,0.24,incompSel
3,STL,8,0.3,incompSel
3,STM,8,0.42,incompSel
3,STH,8,0.34,incompSel
3,STL,9,0.38,incompSel
3,STM,9,0.36,incompSel
3,STH,9,0.36,incompSel
3,STL,10,0.24,incompSel
3,STM,10,0.18,incompSel
3,STH,10,0.3,incompSel
3,STL,11,0.28,incompSel
3,STM,11,0.14,incompSel
3,STH,11,0.24,incompSel
3,STL,12,0.22,incompSel
3,STM,12,0.14,incompSel
3,STH,12,0.16,incompSel
3,STL,13,0.2,incompSel
3,STM,13,0.12,incompSel
3,STH,13,0.18,incompSel
3,STL,14,0.16,incompSel
3,STM,14,0.08,incompSel
3,STH,14,0.16,incompSel
3,STL,15,0.1,incompSel
3,STM,15,0.02,incompSel
3,STH,15,0.06,incompSel
3,STL,16,0.1,incompSel
3,STM,16,0.08,incompSel
3,STH,16,0.06,incompSel
3,STL,17,0.1,incompSel
3,STM,17,0.04,incompSel
3,STH,17,0.08,incompSel
