replicate,pop,gen,V4,selModel
1,STL,1,-1,incompSexDistSel
1,STM,1,-1,incompSexDistSel
1,STH,1,-1,incompSexDistSel
1,STL,2,-0.4177,incompSexDistSel
1,STM,2,-0.5312,incompSexDistSel
1,STH,2,-0.4939,incompSexDistSel
1,STL,3,-0.3243,incompSexDistSel
1,STM,3,-0.3611,incompSexDistSel
1,STH,3,-0.1964,incompSexDistSel
1,STL,4,-0.3611,incompSexDistSel
1,STM,4,-0.2804,incompSexDistSel
1,STH,4,-0.1395,incompSexDistSel
1,STL,5,-0.2564,incompSexDistSel
1,STM,5,-0.2564,incompSexDistSel
1,STH,5,-0.1667,incompSexDistSel
1,STL,6,-0.1529,incompSexDistSel
1,STM,6,-0.2564,incompSexDistSel
1,STH,6,-0.1136,incompSexDistSel
1,STL,7,-0.1264,incompSexDistSel
1,STM,7,-0.074,incompSexDistSel
1,STH,7,-0.0652,incompSexDistSel
1,STL,8,-0.1011,incompSexDistSel
1,STM,8,-0.1807,incompSexDistSel
1,STH,8,-0.0652,incompSexDistSel
1,STL,9,-0.1529,incompSexDistSel
1,STM,9,-0.1529,incompSexDistSel
1,STH,9,-0.1011,incompSexDistSel
1,STL,10,-0.1951,incompSexDistSel
1,STM,10,-0.1529,incompSexDistSel
1,STH,10,-0.0103,incompSexDistSel
1,STL,11,-0.1529,incompSexDistSel
1,STM,11,-0.2099,incompSexDistSel
1,STH,11,NaN,incompSexDistSel
1,STL,12,-0.0426,incompSexDistSel
1,STM,12,-0.1571,incompSexDistSel
1,STH,12,NaN,incompSexDistSel
1,STL,13,-0.0208,incompSexDistSel
1,STM,13,-0.4412,incompSexDistSel
1,STH,13,NaN,incompSexDistSel
1,STL,14,0,incompSexDistSel
1,STM,14,-0.2727,incompSexDistSel
1,STH,14,NaN,incompSexDistSel
1,STL,15,NaN,incompSexDistSel
1,STM,15,-0.2727,incompSexDistSel
1,STH,15,NaN,incompSexDistSel
1,STL,16,NaN,incompSexDistSel
1,STM,16,-0.1807,incompSexDistSel
1,STH,16,NaN,incompSexDistSel
1,STL,17,NaN,incompSexDistSel
1,STM,17,-0.0095,incompSexDistSel
1,STH,17,NaN,incompSexDistSel
1,STL,18,NaN,incompSexDistSel
1,STM,18,-0.1136,incompSexDistSel
1,STH,18,NaN,incompSexDistSel
1,STL,19,NaN,incompSexDistSel
1,STM,19,-0.1136,incompSexDistSel
1,STH,19,NaN,incompSexDistSel
1,STL,20,NaN,incompSexDistSel
1,STM,20,-0.1011,incompSexDistSel
1,STH,20,NaN,incompSexDistSel
2,STL,1,-1,incompSexDistSel
2,STM,1,-1,incompSexDistSel
2,STH,1,-1,incompSexDistSel
2,STL,2,-0.5482,incompSexDistSel
2,STM,2,-0.3538,incompSexDistSel
2,STH,2,-0.4678,incompSexDistSel
2,STL,3,-0.435,incompSexDistSel
2,STM,3,-0.4,incompSexDistSel
2,STH,3,-0.4627,incompSexDistSel
2,STL,4,-0.3025,incompSexDistSel
2,STM,4,-0.2727,incompSexDistSel
2,STH,4,-0.3243,incompSexDistSel
2,STL,5,-0.2405,incompSexDistSel
2,STM,5,-0.2379,incompSexDistSel
2,STH,5,-0.1807,incompSexDistSel
2,STL,6,-0.1529,incompSexDistSel
2,STM,6,-0.2099,incompSexDistSel
