replicate,pop,gen,prefS,Fis,selModel
1,STL,1,0.91,-1,disAltLocusPref
1,STM,1,0.91,-1,disAltLocusPref
1,STH,1,0.91,-1,disAltLocusPref
1,STL,2,0.91,-0.3243,disAltLocusPref
1,STM,2,0.91,-0.3025,disAltLocusPref
1,STH,2,0.91,-0.6059,disAltLocusPref
1,STL,3,0.91,-0.1571,disAltLocusPref
1,STM,3,0.91,-0.3067,disAltLocusPref
1,STH,3,0.91,-0.3538,disAltLocusPref
1,STL,4,0.91,-0.225,disAltLocusPref
1,STM,4,0.91,-0.1395,disAltLocusPref
1,STH,4,0.91,-0.3067,disAltLocusPref
1,STL,5,0.91,-0.1667,disAltLocusPref
1,STM,5,0.91,-0.1395,disAltLocusPref
1,STH,5,0.91,-0.1807,disAltLocusPref
1,STL,6,0.91,-0.1264,disAltLocusPref
1,STM,6,0.91,-0.1136,disAltLocusPref
1,STH,6,0.91,-0.1264,disAltLocusPref
1,STL,7,0.91,-0.0538,disAltLocusPref
1,STM,7,0.91,0.0375,disAltLocusPref
1,STH,7,0.91,-0.1264,disAltLocusPref
1,STL,8,0.91,-0.0208,disAltLocusPref
1,STM,8,0.91,-0.1136,disAltLocusPref
1,STH,8,0.91,0.0375,disAltLocusPref
1,STL,9,0.91,NaN,disAltLocusPref
1,STM,9,0.91,-0.0316,disAltLocusPref
1,STH,9,0.91,-0.0889,disAltLocusPref
1,STL,10,0.91,NaN,disAltLocusPref
1,STM,10,0.91,0,disAltLocusPref
1,STH,10,0.91,-0.1011,disAltLocusPref
1,STL,11,0.91,NaN,disAltLocusPref
1,STM,11,0.91,NaN,disAltLocusPref
1,STH,11,0.91,-0.1136,disAltLocusPref
1,STL,12,0.91,NaN,disAltLocusPref
1,STM,12,0.91,NaN,disAltLocusPref
1,STH,12,0.91,-0.1667,disAltLocusPref
1,STL,13,0.91,NaN,disAltLocusPref
1,STM,13,0.91,NaN,disAltLocusPref
1,STH,13,0.91,-0.2099,disAltLocusPref
1,STL,14,0.91,NaN,disAltLocusPref
1,STM,14,0.91,NaN,disAltLocusPref
1,STH,14,0.91,-0.1807,disAltLocusPref
1,STL,15,0.91,NaN,disAltLocusPref
1,STM,15,0.91,NaN,disAltLocusPref
1,STH,15,0.91,-0.3067,disAltLocusPref
1,STL,16,0.91,NaN,disAltLocusPref
1,STM,16,0.91,NaN,disAltLocusPref
1,STH,16,0.91,-0.2564,disAltLocusPref
1,STL,17,0.91,NaN,disAltLocusPref
1,STM,17,0.91,NaN,disAltLocusPref
1,STH,17,0.91,-0.1807,disAltLocusPref
