replicate,pop,gen,prefS,Fis,selModel
1,STL,1,0.91,-1,disIncompLocusPref
1,STM,1,0.91,-1,disIncompLocusPref
1,STH,1,0.91,-1,disIncompLocusPref
1,STL,2,0.91,-0.3803,disIncompLocusPref
1,STM,2,0.91,-0.5556,disIncompLocusPref
1,STH,2,0.91,-0.5077,disIncompLocusPref
1,STL,3,0.91,-0.259,disIncompLocusPref
1,STM,3,0.91,-0.2804,disIncompLocusPref
1,STH,3,0.91,-0.3425,disIncompLocusPref
1,STL,4,0.91,-0.2895,disIncompLocusPref
1,STM,4,0.91,-0.3425,disIncompLocusPref
1,STH,4,0.91,-0.3243,disIncompLocusPref
1,STL,5,0.91,-0.2564,disIncompLocusPref
1,STM,5,0.91,-0.3425,disIncompLocusPref
1,STH,5,0.91,-0.2564,disIncompLocusPref
1,STL,6,0.91,-0.4,disIncompLocusPref
1,STM,6,0.91,-0.3067,disIncompLocusPref
1,STH,6,0.91,-0.4203,disIncompLocusPref
1,STL,7,0.91,-0.3425,disIncompLocusPref
1,STM,7,0.91,-0.2727,disIncompLocusPref
1,STH,7,0.91,-0.176,disIncompLocusPref
1,STL,8,0.91,-0.3425,disIncompLocusPref
1,STM,8,0.91,-0.2564,disIncompLocusPref
1,STH,8,0.91,-0.3611,disIncompLocusPref
1,STL,9,0.91,-0.3611,disIncompLocusPref
1,STM,9,0.91,-0.2564,disIncompLocusPref
1,STH,9,0.91,-0.2727,disIncompLocusPref
1,STL,10,0.91,-0.2895,disIncompLocusPref
1,STM,10,0.91,-0.3243,disIncompLocusPref
1,STH,10,0.91,-0.3243,disIncompLocusPref
1,STL,11,0.91,-0.3067,disIncompLocusPref
1,STM,11,0.91,-0.2099,disIncompLocusPref
1,STH,11,0.91,-0.3243,disIncompLocusPref
1,STL,12,0.91,-0.3611,disIncompLocusPref
1,STM,12,0.91,-0.2564,disIncompLocusPref
1,STH,12,0.91,-0.3243,disIncompLocusPref
1,STL,13,0.91,-0.2727,disIncompLocusPref
1,STM,13,0.91,-0.3803,disIncompLocusPref
1,STH,13,0.91,-0.4,disIncompLocusPref
1,STL,14,0.91,-0.2099,disIncompLocusPref
1,STM,14,0.91,-0.3936,disIncompLocusPref
