replicate,pop,gen,prefS,H0,selModel
1,STL,1,0.6,1,disIncompLocusPref
1,STM,1,0.6,1,disIncompLocusPref
1,STH,1,0.6,1,disIncompLocusPref
1,STL,2,0.6,0.56,disIncompLocusPref
1,STM,2,0.6,0.7,disIncompLocusPref
1,STH,2,0.6,0.72,disIncompLocusPref
1,STL,3,0.6,0.38,disIncompLocusPref
1,STM,3,0.6,0.54,disIncompLocusPref
1,STH,3,0.6,0.38,disIncompLocusPref
1,STL,4,0.6,0.32,disIncompLocusPref
1,STM,4,0.6,0.38,disIncompLocusPref
1,STH,4,0.6,0.42,disIncompLocusPref
1,STL,5,0.6,0.4,disIncompLocusPref
1,STM,5,0.6,0.38,disIncompLocusPref
1,STH,5,0.6,0.46,disIncompLocusPref
1,STL,6,0.6,0.4,disIncompLocusPref
1,STM,6,0.6,0.46,disIncompLocusPref
1,STH,6,0.6,0.38,disIncompLocusPref
1,STL,7,0.6,0.36,disIncompLocusPref
1,STM,7,0.6,0.5,disIncompLocusPref
1,STH,7,0.6,0.28,disIncompLocusPref
1,STL,8,0.6,0.44,disIncompLocusPref
1,STM,8,0.6,0.36,disIncompLocusPref
1,STH,8,0.6,0.3,disIncompLocusPref
1,STL,9,0.6,0.44,disIncompLocusPref
1,STM,9,0.6,0.26,disIncompLocusPref
1,STH,9,0.6,0.24,disIncompLocusPref
1,STL,10,0.6,0.46,disIncompLocusPref
1,STM,10,0.6,0.34,disIncompLocusPref
1,STH,10,0.6,0.22,disIncompLocusPref
1,STL,11,0.6,0.4,disIncompLocusPref
1,STM,11,0.6,0.42,disIncompLocusPref
1,STH,11,0.6,0.36,disIncompLocusPref
1,STL,12,0.6,0.52,disIncompLocusPref
1,STM,12,0.6,0.4,disIncompLocusPref
1,STH,12,0.6,0.32,disIncompLocusPref
1,STL,13,0.6,0.42,disIncompLocusPref
1,STM,13,0.6,0.36,disIncompLocusPref
1,STH,13,0.6,0.4,disIncompLocusPref
1,STL,14,0.6,0.4,disIncompLocusPref
1,STM,14,0.6,0.3,disIncompLocusPref
1,STH,14,0.6,0.34,disIncompLocusPref
1,STL,15,0.6,0.4,disIncompLocusPref
1,STM,15,0.6,0.3,disIncompLocusPref
1,STH,15,0.6,0.2,disIncompLocusPref
1,STL,16,0.6,0.4,disIncompLocusPref
1,STM,16,0.6,0.38,disIncompLocusPref
1,STH,16,0.6,0.16,disIncompLocusPref
1,STL,17,0.6,0.46,disIncompLocusPref
1,STM,17,0.6,0.38,disIncompLocusPref
1,STH,17,0.6,0.14,disIncompLocusPref
1,STL,18,0.6,0.38,disIncompLocusPref
1,STM,18,0.6,0.24,disIncompLocusPref
1,STH,18,0.6,0.14,disIncompLocusPref
1,STL,19,0.6,0.3,disIncompLocusPref
1,STM,19,0.6,0.22,disIncompLocusPref
1,STH,19,0.6,0.24,disIncompLocusPref
1,STL,20,0.6,0.3,disIncompLocusPref
1,STM,20,0.6,0.3,disIncompLocusPref
1,STH,20,0.6,0.36,disIncompLocusPref
2,STL,1,0.6,1,disIncompLocusPref
2,STM,1,0.6,1,disIncompLocusPref
2,STH,1,0.6,1,disIncompLocusPref
2,STL,2,0.6,0.74,disIncompLocusPref
2,STM,2,0.6,0.54,disIncompLocusPref
2,STH,2,0.6,0.64,disIncompLocusPref
2,STL,3,0.6,0.54,disIncompLocusPref
2,STM,3,0.6,0.46,disIncompLocusPref
2,STH,3,0.6,0.66,disIncompLocusPref
2,STL,4,0.6,0.42,disIncompLocusPref
2,STM,4,0.6,0.46,disIncompLocusPref
2,STH,4,0.6,0.52,disIncompLocusPref
2,STL,5,0.6,0.34,disIncompLocusPref
2,STM,5,0.6,0.36,disIncompLocusPref
2,STH,5,0.6,0.54,disIncompLocusPref
2,STL,6,0.6,0.32,disIncompLocusPref
2,STM,6,0.6,0.4,disIncompLocusPref
2,STH,6,0.6,0.5,disIncompLocusPref
2,STL,7,0.6,0.24,disIncompLocusPref
2,STM,7,0.6,0.3,disIncompLocusPref
2,STH,7,0.6,0.34,disIncompLocusPref
2,STL,8,0.6,0.3,disIncompLocusPref
2,STM,8,0.6,0.34,disIncompLocusPref
2,STH,8,0.6,0.38,disIncompLocusPref
2,STL,9,0.6,0.28,disIncompLocusPref
2,STM,9,0.6,0.18,disIncompLocusPref
2,STH,9,0.6,0.38,disIncompLocusPref
2,STL,10,0.6,0.2,disIncompLocusPref
2,STM,10,0.6,0.22,disIncompLocusPref
2,STH,10,0.6,0.44,disIncompLocusPref
2,STL,11,0.6,0.26,disIncompLocusPref
2,STM,11,0.6,0.26,disIncompLocusPref
2,STH,11,0.6,0.42,disIncompLocusPref
2,STL,12,0.6,0.24,disIncompLocusPref
2,STM,12,0.6,0.36,disIncompLocusPref
2,STH,12,0.6,0.34,disIncompLocusPref
2,STL,13,0.6,0.38,disIncompLocusPref
2,STM,13,0.6,0.44,disIncompLocusPref
2,STH,13,0.6,0.4,disIncompLocusPref
2,STL,14,0.6,0.4,disIncompLocusPref
2,STM,14,0.6,0.36,disIncompLocusPref
2,STH,14,0.6,0.46,disIncompLocusPref
2,STL,15,0.6,0.34,disIncompLocusPref
2,STM,15,0.6,0.36,disIncompLocusPref
2,STH,15,0.6,0.44,disIncompLocusPref
2,STL,16,0.6,0.42,disIncompLocusPref
2,STM,16,0.6,0.48,disIncompLocusPref
2,STH,16,0.6,0.42,disIncompLocusPref
2,STL,17,0.6,0.3,disIncompLocusPref
2,STM,17,0.6,0.56,disIncompLocusPref
2,STH,17,0.6,0.4,disIncompLocusPref
2,STL,18,0.6,0.46,disIncompLocusPref
2,STM,18,0.6,0.56,disIncompLocusPref
2,STH,18,0.6,0.54,disIncompLocusPref
2,STL,19,0.6,0.5,disIncompLocusPref
2,STM,19,0.6,0.4,disIncompLocusPref
2,STH,19,0.6,0.46,disIncompLocusPref
2,STL,20,0.6,0.48,disIncompLocusPref
2,STM,20,0.6,0.4,disIncompLocusPref
2,STH,20,0.6,0.34,disIncompLocusPref
3,STL,1,0.6,1,disIncompLocusPref
3,STM,1,0.6,1,disIncompLocusPref
3,STH,1,0.6,1,disIncompLocusPref
3,STL,2,0.6,0.66,disIncompLocusPref
3,STM,2,0.6,0.7,disIncompLocusPref
3,STH,2,0.6,0.58,disIncompLocusPref
3,STL,3,0.6,0.64,disIncompLocusPref
3,STM,3,0.6,0.54,disIncompLocusPref
3,STH,3,0.6,0.46,disIncompLocusPref
