replicate,pop,gen,prefS,Fis,selModel
1,STL,1,0.2,-1,hetAltLocusPref
1,STM,1,0.2,-1,hetAltLocusPref
1,STH,1,0.2,-1,hetAltLocusPref
1,STL,2,0.2,-0.4425,hetAltLocusPref
1,STM,2,0.2,-0.4627,hetAltLocusPref
1,STH,2,0.2,-0.2383,hetAltLocusPref
1,STL,3,0.2,0.0776,hetAltLocusPref
1,STM,3,0.2,-0.2528,hetAltLocusPref
1,STH,3,0.2,-0.3243,hetAltLocusPref
1,STL,4,0.2,-0.115,hetAltLocusPref
1,STM,4,0.2,-0.3425,hetAltLocusPref
1,STH,4,0.2,-0.3243,hetAltLocusPref
1,STL,5,0.2,-0.1557,hetAltLocusPref
1,STM,5,0.2,-0.1529,hetAltLocusPref
1,STH,5,0.2,-0.2405,hetAltLocusPref
1,STL,6,0.2,-0.3067,hetAltLocusPref
1,STM,6,0.2,-0.1264,hetAltLocusPref
1,STH,6,0.2,-0.1667,hetAltLocusPref
1,STL,7,0.2,-0.2405,hetAltLocusPref
1,STM,7,0.2,-0.1264,hetAltLocusPref
1,STH,7,0.2,-0.1011,hetAltLocusPref
1,STL,8,0.2,-0.2727,hetAltLocusPref
1,STM,8,0.2,-0.1264,hetAltLocusPref
1,STH,8,0.2,-0.1807,hetAltLocusPref
1,STL,9,0.2,-0.1667,hetAltLocusPref
1,STM,9,0.2,-0.0889,hetAltLocusPref
1,STH,9,0.2,-0.1529,hetAltLocusPref
1,STL,10,0.2,-0.1807,hetAltLocusPref
1,STM,10,0.2,-0.0769,hetAltLocusPref
1,STH,10,0.2,-0.1667,hetAltLocusPref
1,STL,11,0.2,-0.1011,hetAltLocusPref
1,STM,11,0.2,-0.0316,hetAltLocusPref
1,STH,11,0.2,-0.0889,hetAltLocusPref
1,STL,12,0.2,-0.0769,hetAltLocusPref
1,STM,12,0.2,-0.0316,hetAltLocusPref
1,STH,12,0.2,-0.0652,hetAltLocusPref
1,STL,13,0.2,-0.0889,hetAltLocusPref
1,STM,13,0.2,NaN,hetAltLocusPref
1,STH,13,0.2,-0.1136,hetAltLocusPref
1,STL,14,0.2,-0.1011,hetAltLocusPref
1,STM,14,0.2,NaN,hetAltLocusPref
1,STH,14,0.2,-0.0889,hetAltLocusPref
1,STL,15,0.2,-0.1136,hetAltLocusPref
1,STM,15,0.2,NaN,hetAltLocusPref
1,STH,15,0.2,-0.0769,hetAltLocusPref
1,STL,16,0.2,-0.0652,hetAltLocusPref
1,STM,16,0.2,NaN,hetAltLocusPref
1,STH,16,0.2,-0.0426,hetAltLocusPref
1,STL,17,0.2,-0.0652,hetAltLocusPref
1,STM,17,0.2,NaN,hetAltLocusPref
1,STH,17,0.2,-0.0538,hetAltLocusPref
1,STL,18,0.2,-0.0538,hetAltLocusPref
1,STM,18,0.2,NaN,hetAltLocusPref
1,STH,18,0.2,-0.0426,hetAltLocusPref
1,STL,19,0.2,-0.0426,hetAltLocusPref
1,STM,19,0.2,NaN,hetAltLocusPref
1,STH,19,0.2,-0.0208,hetAltLocusPref
1,STL,20,0.2,-0.0538,hetAltLocusPref
1,STM,20,0.2,NaN,hetAltLocusPref
1,STH,20,0.2,NaN,hetAltLocusPref
2,STL,1,0.2,-1,hetAltLocusPref
2,STM,1,0.2,-1,hetAltLocusPref
2,STH,1,0.2,-1,hetAltLocusPref
2,STL,2,0.2,-0.4177,hetAltLocusPref
2,STM,2,0.2,-0.4,hetAltLocusPref
2,STH,2,0.2,-0.5482,hetAltLocusPref
2,STL,3,0.2,-0.1589,hetAltLocusPref
2,STM,3,0.2,-0.3803,hetAltLocusPref
2,STH,3,0.2,-0.2285,hetAltLocusPref
2,STL,4,0.2,-0.2171,hetAltLocusPref
2,STM,4,0.2,-0.2895,hetAltLocusPref
2,STH,4,0.2,-0.3067,hetAltLocusPref
2,STL,5,0.2,-0.2564,hetAltLocusPref
2,STM,5,0.2,-0.2727,hetAltLocusPref
2,STH,5,0.2,-0.3067,hetAltLocusPref
2,STL,6,0.2,-0.1667,hetAltLocusPref
2,STM,6,0.2,-0.2727,hetAltLocusPref
2,STH,6,0.2,-0.225,hetAltLocusPref
2,STL,7,0.2,-0.1395,hetAltLocusPref
2,STM,7,0.2,-0.225,hetAltLocusPref
2,STH,7,0.2,-0.1667,hetAltLocusPref
2,STL,8,0.2,-0.053,hetAltLocusPref
2,STM,8,0.2,-0.1529,hetAltLocusPref
2,STH,8,0.2,-0.1529,hetAltLocusPref
2,STL,9,0.2,0.0907,hetAltLocusPref
2,STM,9,0.2,-0.1807,hetAltLocusPref
2,STH,9,0.2,-0.0652,hetAltLocusPref
2,STL,10,0.2,-0.1529,hetAltLocusPref
2,STM,10,0.2,-0.074,hetAltLocusPref
2,STH,10,0.2,-0.0103,hetAltLocusPref
2,STL,11,0.2,0.0375,hetAltLocusPref
2,STM,11,0.2,-0.0946,hetAltLocusPref
2,STH,11,0.2,-0.0538,hetAltLocusPref
2,STL,12,0.2,-0.1529,hetAltLocusPref
2,STM,12,0.2,-0.1264,hetAltLocusPref
2,STH,12,0.2,-0.0426,hetAltLocusPref
2,STL,13,0.2,-0.1529,hetAltLocusPref
2,STM,13,0.2,-0.1264,hetAltLocusPref
2,STH,13,0.2,-0.0652,hetAltLocusPref
2,STL,14,0.2,-0.1395,hetAltLocusPref
2,STM,14,0.2,-0.1264,hetAltLocusPref
2,STH,14,0.2,-0.0316,hetAltLocusPref
2,STL,15,0.2,-0.0652,hetAltLocusPref
2,STM,15,0.2,-0.1264,hetAltLocusPref
2,STH,15,0.2,-0.0208,hetAltLocusPref
2,STL,16,0.2,-0.0208,hetAltLocusPref
2,STM,16,0.2,-0.1667,hetAltLocusPref
2,STH,16,0.2,NaN,hetAltLocusPref
2,STL,17,0.2,NaN,hetAltLocusPref
2,STM,17,0.2,-0.1807,hetAltLocusPref
2,STH,17,0.2,NaN,hetAltLocusPref
2,STL,18,0.2,NaN,hetAltLocusPref
2,STM,18,0.2,0.0887,hetAltLocusPref
2,STH,18,0.2,NaN,hetAltLocusPref
2,STL,19,0.2,NaN,hetAltLocusPref
2,STM,19,0.2,-0.1951,hetAltLocusPref
2,STH,19,0.2,NaN,hetAltLocusPref
2,STL,20,0.2,NaN,hetAltLocusPref
2,STM,20,0.2,-0.225,hetAltLocusPref
2,STH,20,0.2,NaN,hetAltLocusPref
3,STL,1,0.2,-1,hetAltLocusPref
3,STM,1,0.2,-1,hetAltLocusPref
3,STH,1,0.2,-1,hetAltLocusPref
