replicate,pop,gen,prefS,H0,selModel
1,STL,1,0.2,1,hetAltLocusPref
1,STM,1,0.2,1,hetAltLocusPref
1,STH,1,0.2,1,hetAltLocusPref
1,STL,2,0.2,0.66,hetAltLocusPref
1,STM,2,0.2,0.64,hetAltLocusPref
1,STH,2,0.2,0.56,hetAltLocusPref
1,STL,3,0.2,0.32,hetAltLocusPref
1,STM,3,0.2,0.54,hetAltLocusPref
1,STH,3,0.2,0.56,hetAltLocusPref
1,STL,4,0.2,0.36,hetAltLocusPref
1,STM,4,0.2,0.52,hetAltLocusPref
1,STH,4,0.2,0.5,hetAltLocusPref
1,STL,5,0.2,0.4,hetAltLocusPref
1,STM,5,0.2,0.28,hetAltLocusPref
1,STH,5,0.2,0.4,hetAltLocusPref
1,STL,6,0.2,0.48,hetAltLocusPref
1,STM,6,0.2,0.24,hetAltLocusPref
1,STH,6,0.2,0.3,hetAltLocusPref
1,STL,7,0.2,0.4,hetAltLocusPref
1,STM,7,0.2,0.24,hetAltLocusPref
1,STH,7,0.2,0.2,hetAltLocusPref
1,STL,8,0.2,0.44,hetAltLocusPref
1,STM,8,0.2,0.24,hetAltLocusPref
1,STH,8,0.2,0.32,hetAltLocusPref
1,STL,9,0.2,0.3,hetAltLocusPref
1,STM,9,0.2,0.18,hetAltLocusPref
1,STH,9,0.2,0.28,hetAltLocusPref
1,STL,10,0.2,0.32,hetAltLocusPref
1,STM,10,0.2,0.16,hetAltLocusPref
1,STH,10,0.2,0.3,hetAltLocusPref
1,STL,11,0.2,0.2,hetAltLocusPref
1,STM,11,0.2,0.08,hetAltLocusPref
1,STH,11,0.2,0.18,hetAltLocusPref
1,STL,12,0.2,0.16,hetAltLocusPref
1,STM,12,0.2,0.08,hetAltLocusPref
1,STH,12,0.2,0.14,hetAltLocusPref
1,STL,13,0.2,0.18,hetAltLocusPref
1,STM,13,0.2,0,hetAltLocusPref
1,STH,13,0.2,0.22,hetAltLocusPref
1,STL,14,0.2,0.2,hetAltLocusPref
1,STM,14,0.2,0,hetAltLocusPref
1,STH,14,0.2,0.18,hetAltLocusPref
1,STL,15,0.2,0.22,hetAltLocusPref
1,STM,15,0.2,0,hetAltLocusPref
1,STH,15,0.2,0.16,hetAltLocusPref
1,STL,16,0.2,0.14,hetAltLocusPref
1,STM,16,0.2,0,hetAltLocusPref
1,STH,16,0.2,0.1,hetAltLocusPref
1,STL,17,0.2,0.14,hetAltLocusPref
1,STM,17,0.2,0,hetAltLocusPref
1,STH,17,0.2,0.12,hetAltLocusPref
1,STL,18,0.2,0.12,hetAltLocusPref
1,STM,18,0.2,0,hetAltLocusPref
1,STH,18,0.2,0.1,hetAltLocusPref
1,STL,19,0.2,0.1,hetAltLocusPref
1,STM,19,0.2,0,hetAltLocusPref
1,STH,19,0.2,0.06,hetAltLocusPref
1,STL,20,0.2,0.12,hetAltLocusPref
1,STM,20,0.2,0,hetAltLocusPref
1,STH,20,0.2,0,hetAltLocusPref
2,STL,1,0.2,1,hetAltLocusPref
2,STM,1,0.2,1,hetAltLocusPref
2,STH,1,0.2,1,hetAltLocusPref
2,STL,2,0.2,0.64,hetAltLocusPref
2,STM,2,0.2,0.58,hetAltLocusPref
2,STH,2,0.2,0.74,hetAltLocusPref
2,STL,3,0.2,0.5,hetAltLocusPref
2,STM,3,0.2,0.56,hetAltLocusPref
2,STH,3,0.2,0.52,hetAltLocusPref
2,STL,4,0.2,0.46,hetAltLocusPref
2,STM,4,0.2,0.46,hetAltLocusPref
2,STH,4,0.2,0.48,hetAltLocusPref
2,STL,5,0.2,0.42,hetAltLocusPref
2,STM,5,0.2,0.44,hetAltLocusPref
2,STH,5,0.2,0.48,hetAltLocusPref
2,STL,6,0.2,0.3,hetAltLocusPref
2,STM,6,0.2,0.44,hetAltLocusPref
2,STH,6,0.2,0.38,hetAltLocusPref
2,STL,7,0.2,0.26,hetAltLocusPref
2,STM,7,0.2,0.38,hetAltLocusPref
2,STH,7,0.2,0.3,hetAltLocusPref
2,STL,8,0.2,0.3,hetAltLocusPref
2,STM,8,0.2,0.28,hetAltLocusPref
2,STH,8,0.2,0.28,hetAltLocusPref
2,STL,9,0.2,0.18,hetAltLocusPref
2,STM,9,0.2,0.32,hetAltLocusPref
2,STH,9,0.2,0.14,hetAltLocusPref
2,STL,10,0.2,0.28,hetAltLocusPref
2,STM,10,0.2,0.32,hetAltLocusPref
2,STH,10,0.2,0.04,hetAltLocusPref
2,STL,11,0.2,0.22,hetAltLocusPref
2,STM,11,0.2,0.34,hetAltLocusPref
2,STH,11,0.2,0.12,hetAltLocusPref
2,STL,12,0.2,0.28,hetAltLocusPref
2,STM,12,0.2,0.24,hetAltLocusPref
2,STH,12,0.2,0.1,hetAltLocusPref
2,STL,13,0.2,0.28,hetAltLocusPref
2,STM,13,0.2,0.24,hetAltLocusPref
2,STH,13,0.2,0.14,hetAltLocusPref
2,STL,14,0.2,0.26,hetAltLocusPref
2,STM,14,0.2,0.24,hetAltLocusPref
2,STH,14,0.2,0.08,hetAltLocusPref
2,STL,15,0.2,0.14,hetAltLocusPref
2,STM,15,0.2,0.24,hetAltLocusPref
2,STH,15,0.2,0.06,hetAltLocusPref
2,STL,16,0.2,0.06,hetAltLocusPref
2,STM,16,0.2,0.3,hetAltLocusPref
2,STH,16,0.2,0,hetAltLocusPref
2,STL,17,0.2,0,hetAltLocusPref
2,STM,17,0.2,0.32,hetAltLocusPref
2,STH,17,0.2,0,hetAltLocusPref
2,STL,18,0.2,0,hetAltLocusPref
2,STM,18,0.2,0.26,hetAltLocusPref
2,STH,18,0.2,0,hetAltLocusPref
2,STL,19,0.2,0,hetAltLocusPref
2,STM,19,0.2,0.34,hetAltLocusPref
2,STH,19,0.2,0,hetAltLocusPref
2,STL,20,0.2,0,hetAltLocusPref
2,STM,20,0.2,0.38,hetAltLocusPref
2,STH,20,0.2,0,hetAltLocusPref
3,STL,1,0.2,1,hetAltLocusPref
3,STM,1,0.2,1,hetAltLocusPref
3,STH,1,0.2,1,hetAltLocusPref
3,STL,2,0.2,0.6,hetAltLocusPref
3,STM,2,0.2,0.7,hetAltLocusPref
3,STH,2,0.2,0.72,hetAltLocusPref
3,STL,3,0.2,0.44,hetAltLocusPref
3,STM,3,0.2,0.5,hetAltLocusPref
3,STH,3,0.2,0.44,hetAltLocusPref
3,STL,4,0.2,0.36,hetAltLocusPref
3,STM,4,0.2,0.4,hetAltLocusPref
3,STH,4,0.2,0.42,hetAltLocusPref
3,STL,5,0.2,0.3,hetAltLocusPref
