replicate,pop,gen,prefS,Fis,selModel
1,STL,1,0.6,-1,hetGenWidePref
1,STM,1,0.6,-1,hetGenWidePref
1,STH,1,0.6,-1,hetGenWidePref
1,STL,2,0.6,-0.6333,hetGenWidePref
1,STM,2,0.6,-0.2285,hetGenWidePref
1,STH,2,0.6,-0.3936,hetGenWidePref
1,STL,3,0.6,-0.3243,hetGenWidePref
1,STM,3,0.6,-0.2405,hetGenWidePref
1,STH,3,0.6,-0.4,hetGenWidePref
1,STL,4,0.6,-0.3803,hetGenWidePref
1,STM,4,0.6,-0.1529,hetGenWidePref
1,STH,4,0.6,-0.1354,hetGenWidePref
1,STL,5,0.6,-0.074,hetGenWidePref
1,STM,5,0.6,-0.1011,hetGenWidePref
1,STH,5,0.6,-0.1529,hetGenWidePref
1,STL,6,0.6,-0.2564,hetGenWidePref
1,STM,6,0.6,-0.1136,hetGenWidePref
1,STH,6,0.6,-0.1136,hetGenWidePref
1,STL,7,0.6,-0.1951,hetGenWidePref
1,STM,7,0.6,-0.0769,hetGenWidePref
1,STH,7,0.6,-0.1264,hetGenWidePref
1,STL,8,0.6,-0.1667,hetGenWidePref
1,STM,8,0.6,-0.0426,hetGenWidePref
1,STH,8,0.6,-0.1011,hetGenWidePref
1,STL,9,0.6,-0.1807,hetGenWidePref
1,STM,9,0.6,-0.0316,hetGenWidePref
1,STH,9,0.6,-0.1136,hetGenWidePref
1,STL,10,0.6,-0.1395,hetGenWidePref
1,STM,10,0.6,-0.0426,hetGenWidePref
1,STH,10,0.6,-0.1667,hetGenWidePref
1,STL,11,0.6,-0.1011,hetGenWidePref
1,STM,11,0.6,-0.0103,hetGenWidePref
1,STH,11,0.6,-0.1136,hetGenWidePref
1,STL,12,0.6,-0.0538,hetGenWidePref
1,STM,12,0.6,NaN,hetGenWidePref
1,STH,12,0.6,-0.0889,hetGenWidePref
1,STL,13,0.6,-0.1011,hetGenWidePref
1,STM,13,0.6,NaN,hetGenWidePref
1,STH,13,0.6,-0.1136,hetGenWidePref
1,STL,14,0.6,-0.0769,hetGenWidePref
1,STM,14,0.6,NaN,hetGenWidePref
1,STH,14,0.6,-0.0889,hetGenWidePref
1,STL,15,0.6,-0.1011,hetGenWidePref
1,STM,15,0.6,NaN,hetGenWidePref
1,STH,15,0.6,-0.0652,hetGenWidePref
1,STL,16,0.6,-0.1011,hetGenWidePref
1,STM,16,0.6,NaN,hetGenWidePref
1,STH,16,0.6,-0.0769,hetGenWidePref
1,STL,17,0.6,-0.1011,hetGenWidePref
1,STM,17,0.6,NaN,hetGenWidePref
1,STH,17,0.6,-0.0208,hetGenWidePref
1,STL,18,0.6,-0.0538,hetGenWidePref
1,STM,18,0.6,NaN,hetGenWidePref
1,STH,18,0.6,-0.0103,hetGenWidePref
1,STL,19,0.6,-0.0103,hetGenWidePref
1,STM,19,0.6,NaN,hetGenWidePref
1,STH,19,0.6,-0.0769,hetGenWidePref
1,STL,20,0.6,NaN,hetGenWidePref
1,STM,20,0.6,NaN,hetGenWidePref
1,STH,20,0.6,-0.0538,hetGenWidePref
2,STL,1,0.6,-1,hetGenWidePref
2,STM,1,0.6,-1,hetGenWidePref
2,STH,1,0.6,-1,hetGenWidePref
2,STL,2,0.6,-0.3936,hetGenWidePref
2,STM,2,0.6,-0.3803,hetGenWidePref
2,STH,2,0.6,-0.4848,hetGenWidePref
2,STL,3,0.6,-0.2285,hetGenWidePref
2,STM,3,0.6,-0.2564,hetGenWidePref
2,STH,3,0.6,-0.3611,hetGenWidePref
2,STL,4,0.6,-0.3425,hetGenWidePref
2,STM,4,0.6,-0.1951,hetGenWidePref
2,STH,4,0.6,-0.1354,hetGenWidePref
2,STL,5,0.6,-0.1529,hetGenWidePref
2,STM,5,0.6,-0.1667,hetGenWidePref
2,STH,5,0.6,-0.2727,hetGenWidePref
2,STL,6,0.6,-0.1136,hetGenWidePref
2,STM,6,0.6,-0.1807,hetGenWidePref
2,STH,6,0.6,-0.2405,hetGenWidePref
2,STL,7,0.6,-0.0889,hetGenWidePref
2,STM,7,0.6,-0.074,hetGenWidePref
2,STH,7,0.6,-0.1951,hetGenWidePref
2,STL,8,0.6,-0.0426,hetGenWidePref
2,STM,8,0.6,-0.1951,hetGenWidePref
2,STH,8,0.6,-0.1136,hetGenWidePref
2,STL,9,0.6,-0.0103,hetGenWidePref
2,STM,9,0.6,-0.1011,hetGenWidePref
2,STH,9,0.6,-0.1011,hetGenWidePref
2,STL,10,0.6,0,hetGenWidePref
2,STM,10,0.6,-0.0208,hetGenWidePref
2,STH,10,0.6,-0.1395,hetGenWidePref
2,STL,11,0.6,NaN,hetGenWidePref
2,STM,11,0.6,NaN,hetGenWidePref
2,STH,11,0.6,-0.0769,hetGenWidePref
2,STL,12,0.6,NaN,hetGenWidePref
2,STM,12,0.6,NaN,hetGenWidePref
2,STH,12,0.6,0,hetGenWidePref
2,STL,13,0.6,NaN,hetGenWidePref
2,STM,13,0.6,NaN,hetGenWidePref
2,STH,13,0.6,NaN,hetGenWidePref
2,STL,14,0.6,NaN,hetGenWidePref
2,STM,14,0.6,NaN,hetGenWidePref
2,STH,14,0.6,NaN,hetGenWidePref
2,STL,15,0.6,NaN,hetGenWidePref
2,STM,15,0.6,NaN,hetGenWidePref
2,STH,15,0.6,NaN,hetGenWidePref
2,STL,16,0.6,NaN,hetGenWidePref
2,STM,16,0.6,NaN,hetGenWidePref
2,STH,16,0.6,NaN,hetGenWidePref
2,STL,17,0.6,NaN,hetGenWidePref
2,STM,17,0.6,NaN,hetGenWidePref
2,STH,17,0.6,NaN,hetGenWidePref
2,STL,18,0.6,NaN,hetGenWidePref
2,STM,18,0.6,NaN,hetGenWidePref
2,STH,18,0.6,NaN,hetGenWidePref
2,STL,19,0.6,NaN,hetGenWidePref
2,STM,19,0.6,NaN,hetGenWidePref
2,STH,19,0.6,NaN,hetGenWidePref
2,STL,20,0.6,NaN,hetGenWidePref
2,STM,20,0.6,NaN,hetGenWidePref
2,STH,20,0.6,NaN,hetGenWidePref
3,STL,1,0.6,-1,hetGenWidePref
3,STM,1,0.6,-1,hetGenWidePref
3,STH,1,0.6,-1,hetGenWidePref
3,STL,2,0.6,-0.2775,hetGenWidePref
3,STM,2,0.6,-0.5806,hetGenWidePref
3,STH,2,0.6,-0.4678,hetGenWidePref
3,STL,3,0.6,-0.2727,hetGenWidePref
3,STM,3,0.6,-0.3243,hetGenWidePref
3,STH,3,0.6,-0.2804,hetGenWidePref
3,STL,4,0.6,-0.1951,hetGenWidePref
3,STM,4,0.6,-0.2564,hetGenWidePref
3,STH,4,0.6,-0.1557,hetGenWidePref
3,STL,5,0.6,-0.1529,hetGenWidePref
3,STM,5,0.6,-0.1951,hetGenWidePref
3,STH,5,0.6,-0.2727,hetGenWidePref
3,STL,6,0.6,-0.1011,hetGenWidePref
3,STM,6,0.6,-0.225,hetGenWidePref
3,STH,6,0.6,-0.1667,hetGenWidePref
3,STL,7,0.6,-0.0889,hetGenWidePref
3,STM,7,0.6,-0.1136,hetGenWidePref
3,STH,7,0.6,-0.1529,hetGenWidePref
3,STL,8,0.6,-0.1011,hetGenWidePref
3,STM,8,0.6,-0.0316,hetGenWidePref
3,STH,8,0.6,-0.2405,hetGenWidePref
3,STL,9,0.6,-0.1395,hetGenWidePref
3,STM,9,0.6,-0.0889,hetGenWidePref
3,STH,9,0.6,-0.1667,hetGenWidePref
3,STL,10,0.6,-0.2405,hetGenWidePref
3,STM,10,0.6,-0.1264,hetGenWidePref
3,STH,10,0.6,-0.1395,hetGenWidePref
3,STL,11,0.6,-0.1529,hetGenWidePref
3,STM,11,0.6,-0.0769,hetGenWidePref
3,STH,11,0.6,-0.1529,hetGenWidePref
3,STL,12,0.6,-0.1264,hetGenWidePref
3,STM,12,0.6,0.1552,hetGenWidePref
3,STH,12,0.6,-0.2099,hetGenWidePref
3,STL,13,0.6,-0.1011,hetGenWidePref
3,STM,13,0.6,-0.1136,hetGenWidePref
3,STH,13,0.6,-0.1011,hetGenWidePref
3,STL,14,0.6,-0.1011,hetGenWidePref
3,STM,14,0.6,-0.1807,hetGenWidePref
3,STH,14,0.6,-0.0889,hetGenWidePref
3,STL,15,0.6,-0.1395,hetGenWidePref
3,STM,15,0.6,-0.1951,hetGenWidePref
3,STH,15,0.6,-0.0316,hetGenWidePref
3,STL,16,0.6,-0.0889,hetGenWidePref
3,STM,16,0.6,-0.1667,hetGenWidePref
3,STH,16,0.6,-0.0103,hetGenWidePref
3,STL,17,0.6,-0.1395,hetGenWidePref
3,STM,17,0.6,-0.1395,hetGenWidePref
3,STH,17,0.6,-0.0208,hetGenWidePref
3,STL,18,0.6,-0.2564,hetGenWidePref
3,STM,18,0.6,-0.1807,hetGenWidePref
3,STH,18,0.6,-0.0426,hetGenWidePref
3,STL,19,0.6,-0.3243,hetGenWidePref
3,STM,19,0.6,-0.1807,hetGenWidePref
3,STH,19,0.6,-0.0769,hetGenWidePref
3,STL,20,0.6,-0.2405,hetGenWidePref
3,STM,20,0.6,-0.1529,hetGenWidePref
3,STH,20,0.6,-0.0652,hetGenWidePref
4,STL,1,0.6,-1,hetGenWidePref
4,STM,1,0.6,-1,hetGenWidePref
4,STH,1,0.6,-1,hetGenWidePref
4,STL,2,0.6,-0.5077,hetGenWidePref
4,STM,2,0.6,-0.4388,hetGenWidePref
4,STH,2,0.6,-0.4203,hetGenWidePref
4,STL,3,0.6,-0.3803,hetGenWidePref
4,STM,3,0.6,-0.2564,hetGenWidePref
4,STH,3,0.6,-0.225,hetGenWidePref
4,STL,4,0.6,-0.0389,hetGenWidePref
4,STM,4,0.6,-0.2727,hetGenWidePref
4,STH,4,0.6,-0.1667,hetGenWidePref
4,STL,5,0.6,-0.0769,hetGenWidePref
4,STM,5,0.6,-0.2564,hetGenWidePref
4,STH,5,0.6,-0.1667,hetGenWidePref
4,STL,6,0.6,-0.0652,hetGenWidePref
4,STM,6,0.6,-0.1807,hetGenWidePref
4,STH,6,0.6,-0.1395,hetGenWidePref
4,STL,7,0.6,-0.0316,hetGenWidePref
4,STM,7,0.6,-0.1264,hetGenWidePref
4,STH,7,0.6,-0.0652,hetGenWidePref
4,STL,8,0.6,0,hetGenWidePref
4,STM,8,0.6,-0.1667,hetGenWidePref
4,STH,8,0.6,-0.0652,hetGenWidePref
4,STL,9,0.6,0,hetGenWidePref
4,STM,9,0.6,-0.1807,hetGenWidePref
4,STH,9,0.6,0,hetGenWidePref
4,STL,10,0.6,NaN,hetGenWidePref
4,STM,10,0.6,-0.0769,hetGenWidePref
4,STH,10,0.6,-0.0103,hetGenWidePref
4,STL,11,0.6,NaN,hetGenWidePref
4,STM,11,0.6,-0.0769,hetGenWidePref
4,STH,11,0.6,-0.0103,hetGenWidePref
4,STL,12,0.6,NaN,hetGenWidePref
4,STM,12,0.6,-0.0316,hetGenWidePref
4,STH,12,0.6,-0.0103,hetGenWidePref
4,STL,13,0.6,NaN,hetGenWidePref
4,STM,13,0.6,-0.0316,hetGenWidePref
4,STH,13,0.6,-0.0316,hetGenWidePref
4,STL,14,0.6,NaN,hetGenWidePref
4,STM,14,0.6,-0.0103,hetGenWidePref
4,STH,14,0.6,-0.0426,hetGenWidePref
4,STL,15,0.6,NaN,hetGenWidePref
4,STM,15,0.6,-0.0208,hetGenWidePref
4,STH,15,0.6,-0.0426,hetGenWidePref
4,STL,16,0.6,NaN,hetGenWidePref
4,STM,16,0.6,-0.0426,hetGenWidePref
4,STH,16,0.6,-0.0103,hetGenWidePref
4,STL,17,0.6,NaN,hetGenWidePref
4,STM,17,0.6,-0.0208,hetGenWidePref
4,STH,17,0.6,-0.0208,hetGenWidePref
4,STL,18,0.6,NaN,hetGenWidePref
4,STM,18,0.6,-0.0208,hetGenWidePref
4,STH,18,0.6,0,hetGenWidePref
4,STL,19,0.6,NaN,hetGenWidePref
4,STM,19,0.6,-0.0103,hetGenWidePref
4,STH,19,0.6,0,hetGenWidePref
4,STL,20,0.6,NaN,hetGenWidePref
4,STM,20,0.6,0,hetGenWidePref
4,STH,20,0.6,NaN,hetGenWidePref
5,STL,1,0.6,-1,hetGenWidePref
5,STM,1,0.6,-1,hetGenWidePref
5,STH,1,0.6,-1,hetGenWidePref
5,STL,2,0.6,-0.2804,hetGenWidePref
5,STM,2,0.6,-0.37,hetGenWidePref
5,STH,2,0.6,-0.3022,hetGenWidePref
5,STL,3,0.6,-0.074,hetGenWidePref
5,STM,3,0.6,-0.3067,hetGenWidePref
5,STH,3,0.6,-0.259,hetGenWidePref
5,STL,4,0.6,-0.2564,hetGenWidePref
5,STM,4,0.6,-0.2727,hetGenWidePref
5,STH,4,0.6,-0.2405,hetGenWidePref
5,STL,5,0.6,-0.1807,hetGenWidePref
5,STM,5,0.6,-0.1951,hetGenWidePref
5,STH,5,0.6,-0.1807,hetGenWidePref
5,STL,6,0.6,0.0907,hetGenWidePref
5,STM,6,0.6,-0.1395,hetGenWidePref
5,STH,6,0.6,-0.225,hetGenWidePref
5,STL,7,0.6,-0.1011,hetGenWidePref
5,STM,7,0.6,-0.1264,hetGenWidePref
5,STH,7,0.6,-0.1667,hetGenWidePref
5,STL,8,0.6,0.0907,hetGenWidePref
5,STM,8,0.6,-0.1011,hetGenWidePref
5,STH,8,0.6,-0.1807,hetGenWidePref
5,STL,9,0.6,-0.1395,hetGenWidePref
5,STM,9,0.6,-0.1395,hetGenWidePref
5,STH,9,0.6,-0.1667,hetGenWidePref
5,STL,10,0.6,-0.074,hetGenWidePref
5,STM,10,0.6,0.0907,hetGenWidePref
5,STH,10,0.6,-0.1395,hetGenWidePref
5,STL,11,0.6,-0.1011,hetGenWidePref
5,STM,11,0.6,-0.0889,hetGenWidePref
5,STH,11,0.6,-0.1395,hetGenWidePref
5,STL,12,0.6,-0.1395,hetGenWidePref
5,STM,12,0.6,-0.1011,hetGenWidePref
5,STH,12,0.6,-0.1529,hetGenWidePref
5,STL,13,0.6,-0.1395,hetGenWidePref
5,STM,13,0.6,-0.0652,hetGenWidePref
5,STH,13,0.6,-0.1264,hetGenWidePref
5,STL,14,0.6,-0.1011,hetGenWidePref
5,STM,14,0.6,-0.0538,hetGenWidePref
5,STH,14,0.6,-0.0769,hetGenWidePref
5,STL,15,0.6,-0.1136,hetGenWidePref
5,STM,15,0.6,-0.0538,hetGenWidePref
5,STH,15,0.6,-0.0652,hetGenWidePref
5,STL,16,0.6,-0.1136,hetGenWidePref
5,STM,16,0.6,-0.0316,hetGenWidePref
5,STH,16,0.6,-0.0889,hetGenWidePref
5,STL,17,0.6,-0.1395,hetGenWidePref
5,STM,17,0.6,-0.0103,hetGenWidePref
5,STH,17,0.6,-0.1136,hetGenWidePref
5,STL,18,0.6,-0.0889,hetGenWidePref
5,STM,18,0.6,-0.0208,hetGenWidePref
5,STH,18,0.6,-0.1264,hetGenWidePref
5,STL,19,0.6,-0.0889,hetGenWidePref
5,STM,19,0.6,-0.0316,hetGenWidePref
5,STH,19,0.6,-0.1667,hetGenWidePref
5,STL,20,0.6,-0.0769,hetGenWidePref
5,STM,20,0.6,-0.0538,hetGenWidePref
5,STH,20,0.6,-0.1807,hetGenWidePref
6,STL,1,0.6,-1,hetGenWidePref
6,STM,1,0.6,-1,hetGenWidePref
6,STH,1,0.6,-1,hetGenWidePref
6,STL,2,0.6,-0.5556,hetGenWidePref
6,STM,2,0.6,-0.5556,hetGenWidePref
6,STH,2,0.6,-0.5482,hetGenWidePref
6,STL,3,0.6,-0.4203,hetGenWidePref
6,STM,3,0.6,-0.3425,hetGenWidePref
6,STH,3,0.6,-0.3067,hetGenWidePref
6,STL,4,0.6,-0.3803,hetGenWidePref
6,STM,4,0.6,-0.3425,hetGenWidePref
6,STH,4,0.6,-0.1395,hetGenWidePref
6,STL,5,0.6,-0.2564,hetGenWidePref
6,STM,5,0.6,-0.1667,hetGenWidePref
6,STH,5,0.6,-0.0538,hetGenWidePref
6,STL,6,0.6,-0.1951,hetGenWidePref
6,STM,6,0.6,-0.1395,hetGenWidePref
6,STH,6,0.6,-0.0769,hetGenWidePref
6,STL,7,0.6,-0.1264,hetGenWidePref
6,STM,7,0.6,-0.1011,hetGenWidePref
6,STH,7,0.6,-0.1136,hetGenWidePref
6,STL,8,0.6,-0.1011,hetGenWidePref
6,STM,8,0.6,-0.0889,hetGenWidePref
6,STH,8,0.6,-0.0538,hetGenWidePref
6,STL,9,0.6,-0.1264,hetGenWidePref
6,STM,9,0.6,0.0907,hetGenWidePref
6,STH,9,0.6,-0.0652,hetGenWidePref
6,STL,10,0.6,0.0375,hetGenWidePref
6,STM,10,0.6,-0.1667,hetGenWidePref
6,STH,10,0.6,-0.0316,hetGenWidePref
6,STL,11,0.6,-0.1667,hetGenWidePref
6,STM,11,0.6,-0.225,hetGenWidePref
6,STH,11,0.6,-0.0103,hetGenWidePref
6,STL,12,0.6,-0.1011,hetGenWidePref
6,STM,12,0.6,-0.2099,hetGenWidePref
6,STH,12,0.6,-0.0103,hetGenWidePref
6,STL,13,0.6,-0.0889,hetGenWidePref
6,STM,13,0.6,-0.0316,hetGenWidePref
6,STH,13,0.6,-0.0208,hetGenWidePref
6,STL,14,0.6,-0.0316,hetGenWidePref
6,STM,14,0.6,-0.1667,hetGenWidePref
6,STH,14,0.6,-0.0208,hetGenWidePref
6,STL,15,0.6,0,hetGenWidePref
6,STM,15,0.6,-0.1264,hetGenWidePref
6,STH,15,0.6,-0.0103,hetGenWidePref
6,STL,16,0.6,0,hetGenWidePref
6,STM,16,0.6,-0.0316,hetGenWidePref
6,STH,16,0.6,0,hetGenWidePref
6,STL,17,0.6,0,hetGenWidePref
6,STM,17,0.6,-0.1395,hetGenWidePref
6,STH,17,0.6,-0.0103,hetGenWidePref
6,STL,18,0.6,0,hetGenWidePref
6,STM,18,0.6,0.0375,hetGenWidePref
6,STH,18,0.6,-0.0538,hetGenWidePref
6,STL,19,0.6,0,hetGenWidePref
6,STM,19,0.6,-0.1136,hetGenWidePref
6,STH,19,0.6,-0.0316,hetGenWidePref
6,STL,20,0.6,0,hetGenWidePref
6,STM,20,0.6,-0.0538,hetGenWidePref
6,STH,20,0.6,-0.0103,hetGenWidePref
7,STL,1,0.6,-1,hetGenWidePref
7,STM,1,0.6,-1,hetGenWidePref
7,STH,1,0.6,-1,hetGenWidePref
7,STL,2,0.6,-0.4425,hetGenWidePref
7,STM,2,0.6,-0.2775,hetGenWidePref
7,STH,2,0.6,-0.3243,hetGenWidePref
7,STL,3,0.6,-0.259,hetGenWidePref
7,STM,3,0.6,-0.2379,hetGenWidePref
7,STH,3,0.6,-0.3243,hetGenWidePref
7,STL,4,0.6,-0.1395,hetGenWidePref
7,STM,4,0.6,-0.2405,hetGenWidePref
7,STH,4,0.6,-0.2405,hetGenWidePref
7,STL,5,0.6,-0.1807,hetGenWidePref
7,STM,5,0.6,-0.1667,hetGenWidePref
7,STH,5,0.6,-0.3243,hetGenWidePref
