replicate,pop,gen,prefS,H0,selModel
1,STL,1,0.4,1,hetGenWidePref
1,STM,1,0.4,1,hetGenWidePref
1,STH,1,0.4,1,hetGenWidePref
1,STL,2,0.4,0.66,hetGenWidePref
1,STM,2,0.4,0.6,hetGenWidePref
1,STH,2,0.4,0.54,hetGenWidePref
1,STL,3,0.4,0.64,hetGenWidePref
1,STM,3,0.4,0.64,hetGenWidePref
1,STH,3,0.4,0.4,hetGenWidePref
1,STL,4,0.4,0.52,hetGenWidePref
1,STM,4,0.4,0.42,hetGenWidePref
1,STH,4,0.4,0.4,hetGenWidePref
1,STL,5,0.4,0.38,hetGenWidePref
1,STM,5,0.4,0.3,hetGenWidePref
1,STH,5,0.4,0.4,hetGenWidePref
1,STL,6,0.4,0.36,hetGenWidePref
1,STM,6,0.4,0.14,hetGenWidePref
1,STH,6,0.4,0.5,hetGenWidePref
1,STL,7,0.4,0.2,hetGenWidePref
1,STM,7,0.4,0.1,hetGenWidePref
1,STH,7,0.4,0.36,hetGenWidePref
1,STL,8,0.4,0.28,hetGenWidePref
1,STM,8,0.4,0.08,hetGenWidePref
1,STH,8,0.4,0.16,hetGenWidePref
1,STL,9,0.4,0.2,hetGenWidePref
1,STM,9,0.4,0.1,hetGenWidePref
1,STH,9,0.4,0.14,hetGenWidePref
1,STL,10,0.4,0.2,hetGenWidePref
1,STM,10,0.4,0.1,hetGenWidePref
1,STH,10,0.4,0.08,hetGenWidePref
1,STL,11,0.4,0.2,hetGenWidePref
1,STM,11,0.4,0.14,hetGenWidePref
1,STH,11,0.4,0,hetGenWidePref
1,STL,12,0.4,0.2,hetGenWidePref
1,STM,12,0.4,0.16,hetGenWidePref
1,STH,12,0.4,0,hetGenWidePref
1,STL,13,0.4,0.22,hetGenWidePref
1,STM,13,0.4,0.22,hetGenWidePref
1,STH,13,0.4,0,hetGenWidePref
1,STL,14,0.4,0.2,hetGenWidePref
1,STM,14,0.4,0.3,hetGenWidePref
1,STH,14,0.4,0,hetGenWidePref
1,STL,15,0.4,0.26,hetGenWidePref
1,STM,15,0.4,0.34,hetGenWidePref
1,STH,15,0.4,0,hetGenWidePref
1,STL,16,0.4,0.38,hetGenWidePref
1,STM,16,0.4,0.3,hetGenWidePref
1,STH,16,0.4,0,hetGenWidePref
1,STL,17,0.4,0.36,hetGenWidePref
1,STM,17,0.4,0.24,hetGenWidePref
1,STH,17,0.4,0,hetGenWidePref
1,STL,18,0.4,0.24,hetGenWidePref
1,STM,18,0.4,0.22,hetGenWidePref
1,STH,18,0.4,0,hetGenWidePref
1,STL,19,0.4,0.26,hetGenWidePref
1,STM,19,0.4,0.3,hetGenWidePref
1,STH,19,0.4,0,hetGenWidePref
1,STL,20,0.4,0.18,hetGenWidePref
1,STM,20,0.4,0.16,hetGenWidePref
1,STH,20,0.4,0,hetGenWidePref
2,STL,1,0.4,1,hetGenWidePref
2,STM,1,0.4,1,hetGenWidePref
2,STH,1,0.4,1,hetGenWidePref
2,STL,2,0.4,0.66,hetGenWidePref
2,STM,2,0.4,0.52,hetGenWidePref
2,STH,2,0.4,0.64,hetGenWidePref
2,STL,3,0.4,0.56,hetGenWidePref
2,STM,3,0.4,0.32,hetGenWidePref
2,STH,3,0.4,0.6,hetGenWidePref
2,STL,4,0.4,0.56,hetGenWidePref
2,STM,4,0.4,0.32,hetGenWidePref
2,STH,4,0.4,0.68,hetGenWidePref
2,STL,5,0.4,0.5,hetGenWidePref
2,STM,5,0.4,0.26,hetGenWidePref
2,STH,5,0.4,0.42,hetGenWidePref
2,STL,6,0.4,0.22,hetGenWidePref
2,STM,6,0.4,0.28,hetGenWidePref
2,STH,6,0.4,0.38,hetGenWidePref
2,STL,7,0.4,0.2,hetGenWidePref
2,STM,7,0.4,0.26,hetGenWidePref
2,STH,7,0.4,0.28,hetGenWidePref
