replicate,pop,gen,prefS,Fis,selModel
1,STL,1,0.2,-1,hetIncompLocusPref
1,STM,1,0.2,-1,hetIncompLocusPref
1,STH,1,0.2,-1,hetIncompLocusPref
1,STL,2,0.2,-0.4412,hetIncompLocusPref
1,STM,2,0.2,-0.3279,hetIncompLocusPref
1,STH,2,0.2,-0.3538,hetIncompLocusPref
1,STL,3,0.2,-0.3022,hetIncompLocusPref
1,STM,3,0.2,-0.37,hetIncompLocusPref
1,STH,3,0.2,-0.2171,hetIncompLocusPref
1,STL,4,0.2,-0.1951,hetIncompLocusPref
1,STM,4,0.2,-0.3067,hetIncompLocusPref
1,STH,4,0.2,-0.2405,hetIncompLocusPref
1,STL,5,0.2,-0.225,hetIncompLocusPref
1,STM,5,0.2,-0.1951,hetIncompLocusPref
1,STH,5,0.2,-0.1667,hetIncompLocusPref
1,STL,6,0.2,-0.225,hetIncompLocusPref
1,STM,6,0.2,-0.1395,hetIncompLocusPref
1,STH,6,0.2,-0.1667,hetIncompLocusPref
1,STL,7,0.2,-0.1951,hetIncompLocusPref
1,STM,7,0.2,-0.2405,hetIncompLocusPref
1,STH,7,0.2,-0.1395,hetIncompLocusPref
1,STL,8,0.2,0.0375,hetIncompLocusPref
1,STM,8,0.2,-0.1529,hetIncompLocusPref
1,STH,8,0.2,-0.0769,hetIncompLocusPref
1,STL,9,0.2,-0.1529,hetIncompLocusPref
1,STM,9,0.2,-0.0889,hetIncompLocusPref
1,STH,9,0.2,-0.0538,hetIncompLocusPref
1,STL,10,0.2,-0.0769,hetIncompLocusPref
1,STM,10,0.2,-0.0426,hetIncompLocusPref
1,STH,10,0.2,-0.0426,hetIncompLocusPref
1,STL,11,0.2,-0.1011,hetIncompLocusPref
1,STM,11,0.2,-0.0889,hetIncompLocusPref
1,STH,11,0.2,-0.0426,hetIncompLocusPref
1,STL,12,0.2,-0.1011,hetIncompLocusPref
1,STM,12,0.2,-0.0538,hetIncompLocusPref
1,STH,12,0.2,-0.1011,hetIncompLocusPref
1,STL,13,0.2,0.1945,hetIncompLocusPref
1,STM,13,0.2,-0.0316,hetIncompLocusPref
1,STH,13,0.2,-0.0769,hetIncompLocusPref
1,STL,14,0.2,-0.1011,hetIncompLocusPref
1,STM,14,0.2,-0.0538,hetIncompLocusPref
1,STH,14,0.2,-0.0316,hetIncompLocusPref
1,STL,15,0.2,-0.1395,hetIncompLocusPref
1,STM,15,0.2,-0.0889,hetIncompLocusPref
1,STH,15,0.2,-0.0316,hetIncompLocusPref
1,STL,16,0.2,-0.2564,hetIncompLocusPref
1,STM,16,0.2,-0.0316,hetIncompLocusPref
1,STH,16,0.2,-0.0538,hetIncompLocusPref
1,STL,17,0.2,-0.1667,hetIncompLocusPref
1,STM,17,0.2,-0.0538,hetIncompLocusPref
1,STH,17,0.2,-0.0316,hetIncompLocusPref
1,STL,18,0.2,-0.0889,hetIncompLocusPref
1,STM,18,0.2,-0.0769,hetIncompLocusPref
1,STH,18,0.2,-0.0769,hetIncompLocusPref
1,STL,19,0.2,-0.1264,hetIncompLocusPref
1,STM,19,0.2,-0.0652,hetIncompLocusPref
1,STH,19,0.2,-0.1011,hetIncompLocusPref
1,STL,20,0.2,-0.1395,hetIncompLocusPref
1,STM,20,0.2,-0.0769,hetIncompLocusPref
1,STH,20,0.2,-0.2895,hetIncompLocusPref
2,STL,1,0.2,-1,hetIncompLocusPref
2,STM,1,0.2,-1,hetIncompLocusPref
2,STH,1,0.2,-1,hetIncompLocusPref
2,STL,2,0.2,-0.2528,hetIncompLocusPref
2,STM,2,0.2,-0.3025,hetIncompLocusPref
2,STH,2,0.2,-0.4073,hetIncompLocusPref
2,STL,3,0.2,-0.435,hetIncompLocusPref
2,STM,3,0.2,-0.1354,hetIncompLocusPref
2,STH,3,0.2,-0.1589,hetIncompLocusPref
2,STL,4,0.2,-0.5312,hetIncompLocusPref
2,STM,4,0.2,-0.3425,hetIncompLocusPref
2,STH,4,0.2,-0.11,hetIncompLocusPref
2,STL,5,0.2,-0.2654,hetIncompLocusPref
2,STM,5,0.2,-0.2727,hetIncompLocusPref
2,STH,5,0.2,-0.259,hetIncompLocusPref
2,STL,6,0.2,-0.3469,hetIncompLocusPref
2,STM,6,0.2,-0.053,hetIncompLocusPref
2,STH,6,0.2,-0.0865,hetIncompLocusPref
2,STL,7,0.2,-0.3243,hetIncompLocusPref
2,STM,7,0.2,-0.1557,hetIncompLocusPref
2,STH,7,0.2,-0.2564,hetIncompLocusPref
