replicate,pop,gen,prefS,H0,selModel
1,STL,1,0.8,1,hetIncompLocusPref
1,STM,1,0.8,1,hetIncompLocusPref
1,STH,1,0.8,1,hetIncompLocusPref
1,STL,2,0.8,0.66,hetIncompLocusPref
1,STM,2,0.8,0.58,hetIncompLocusPref
1,STH,2,0.8,0.66,hetIncompLocusPref
1,STL,3,0.8,0.52,hetIncompLocusPref
1,STM,3,0.8,0.58,hetIncompLocusPref
1,STH,3,0.8,0.7,hetIncompLocusPref
1,STL,4,0.8,0.52,hetIncompLocusPref
1,STM,4,0.8,0.48,hetIncompLocusPref
1,STH,4,0.8,0.5,hetIncompLocusPref
1,STL,5,0.8,0.5,hetIncompLocusPref
1,STM,5,0.8,0.62,hetIncompLocusPref
1,STH,5,0.8,0.46,hetIncompLocusPref
1,STL,6,0.8,0.44,hetIncompLocusPref
1,STM,6,0.8,0.64,hetIncompLocusPref
1,STH,6,0.8,0.62,hetIncompLocusPref
1,STL,7,0.8,0.6,hetIncompLocusPref
1,STM,7,0.8,0.52,hetIncompLocusPref
1,STH,7,0.8,0.66,hetIncompLocusPref
1,STL,8,0.8,0.56,hetIncompLocusPref
1,STM,8,0.8,0.56,hetIncompLocusPref
1,STH,8,0.8,0.58,hetIncompLocusPref
1,STL,9,0.8,0.5,hetIncompLocusPref
1,STM,9,0.8,0.54,hetIncompLocusPref
1,STH,9,0.8,0.54,hetIncompLocusPref
1,STL,10,0.8,0.5,hetIncompLocusPref
1,STM,10,0.8,0.62,hetIncompLocusPref
1,STH,10,0.8,0.52,hetIncompLocusPref
1,STL,11,0.8,0.44,hetIncompLocusPref
1,STM,11,0.8,0.5,hetIncompLocusPref
1,STH,11,0.8,0.5,hetIncompLocusPref
1,STL,12,0.8,0.56,hetIncompLocusPref
1,STM,12,0.8,0.6,hetIncompLocusPref
1,STH,12,0.8,0.42,hetIncompLocusPref
1,STL,13,0.8,0.54,hetIncompLocusPref
1,STM,13,0.8,0.72,hetIncompLocusPref
1,STH,13,0.8,0.44,hetIncompLocusPref
1,STL,14,0.8,0.6,hetIncompLocusPref
1,STM,14,0.8,0.5,hetIncompLocusPref
1,STH,14,0.8,0.56,hetIncompLocusPref
1,STL,15,0.8,0.56,hetIncompLocusPref
1,STM,15,0.8,0.58,hetIncompLocusPref
1,STH,15,0.8,0.54,hetIncompLocusPref
1,STL,16,0.8,0.52,hetIncompLocusPref
1,STM,16,0.8,0.68,hetIncompLocusPref
1,STH,16,0.8,0.6,hetIncompLocusPref
1,STL,17,0.8,0.54,hetIncompLocusPref
1,STM,17,0.8,0.5,hetIncompLocusPref
1,STH,17,0.8,0.66,hetIncompLocusPref
1,STL,18,0.8,0.54,hetIncompLocusPref
1,STM,18,0.8,0.64,hetIncompLocusPref
1,STH,18,0.8,0.68,hetIncompLocusPref
1,STL,19,0.8,0.66,hetIncompLocusPref
1,STM,19,0.8,0.56,hetIncompLocusPref
1,STH,19,0.8,0.56,hetIncompLocusPref
1,STL,20,0.8,0.7,hetIncompLocusPref
1,STM,20,0.8,0.58,hetIncompLocusPref
1,STH,20,0.8,0.56,hetIncompLocusPref
2,STL,1,0.8,1,hetIncompLocusPref
2,STM,1,0.8,1,hetIncompLocusPref
2,STH,1,0.8,1,hetIncompLocusPref
2,STL,2,0.8,0.6,hetIncompLocusPref
2,STM,2,0.8,0.64,hetIncompLocusPref
2,STH,2,0.8,0.66,hetIncompLocusPref
2,STL,3,0.8,0.64,hetIncompLocusPref
2,STM,3,0.8,0.44,hetIncompLocusPref
2,STH,3,0.8,0.62,hetIncompLocusPref
2,STL,4,0.8,0.6,hetIncompLocusPref
2,STM,4,0.8,0.46,hetIncompLocusPref
2,STH,4,0.8,0.62,hetIncompLocusPref
2,STL,5,0.8,0.56,hetIncompLocusPref
2,STM,5,0.8,0.32,hetIncompLocusPref
2,STH,5,0.8,0.58,hetIncompLocusPref
2,STL,6,0.8,0.56,hetIncompLocusPref
2,STM,6,0.8,0.46,hetIncompLocusPref
2,STH,6,0.8,0.58,hetIncompLocusPref
2,STL,7,0.8,0.4,hetIncompLocusPref
2,STM,7,0.8,0.5,hetIncompLocusPref
2,STH,7,0.8,0.52,hetIncompLocusPref
2,STL,8,0.8,0.52,hetIncompLocusPref
2,STM,8,0.8,0.38,hetIncompLocusPref
2,STH,8,0.8,0.6,hetIncompLocusPref
2,STL,9,0.8,0.58,hetIncompLocusPref
2,STM,9,0.8,0.58,hetIncompLocusPref
2,STH,9,0.8,0.54,hetIncompLocusPref
2,STL,10,0.8,0.62,hetIncompLocusPref
2,STM,10,0.8,0.46,hetIncompLocusPref
2,STH,10,0.8,0.56,hetIncompLocusPref
2,STL,11,0.8,0.62,hetIncompLocusPref
2,STM,11,0.8,0.52,hetIncompLocusPref
2,STH,11,0.8,0.52,hetIncompLocusPref
2,STL,12,0.8,0.68,hetIncompLocusPref
2,STM,12,0.8,0.5,hetIncompLocusPref
2,STH,12,0.8,0.5,hetIncompLocusPref
2,STL,13,0.8,0.64,hetIncompLocusPref
2,STM,13,0.8,0.44,hetIncompLocusPref
2,STH,13,0.8,0.58,hetIncompLocusPref
2,STL,14,0.8,0.44,hetIncompLocusPref
2,STM,14,0.8,0.4,hetIncompLocusPref
2,STH,14,0.8,0.46,hetIncompLocusPref
2,STL,15,0.8,0.34,hetIncompLocusPref
2,STM,15,0.8,0.46,hetIncompLocusPref
2,STH,15,0.8,0.42,hetIncompLocusPref
2,STL,16,0.8,0.52,hetIncompLocusPref
2,STM,16,0.8,0.54,hetIncompLocusPref
2,STH,16,0.8,0.52,hetIncompLocusPref
2,STL,17,0.8,0.46,hetIncompLocusPref
2,STM,17,0.8,0.6,hetIncompLocusPref
2,STH,17,0.8,0.48,hetIncompLocusPref
2,STL,18,0.8,0.58,hetIncompLocusPref
2,STM,18,0.8,0.54,hetIncompLocusPref
2,STH,18,0.8,0.54,hetIncompLocusPref
2,STL,19,0.8,0.5,hetIncompLocusPref
2,STM,19,0.8,0.5,hetIncompLocusPref
2,STH,19,0.8,0.48,hetIncompLocusPref
2,STL,20,0.8,0.62,hetIncompLocusPref
2,STM,20,0.8,0.52,hetIncompLocusPref
2,STH,20,0.8,0.5,hetIncompLocusPref
3,STL,1,0.8,1,hetIncompLocusPref
3,STM,1,0.8,1,hetIncompLocusPref
3,STH,1,0.8,1,hetIncompLocusPref
3,STL,2,0.8,0.68,hetIncompLocusPref
3,STM,2,0.8,0.7,hetIncompLocusPref
3,STH,2,0.8,0.74,hetIncompLocusPref
3,STL,3,0.8,0.66,hetIncompLocusPref
