replicate,pop,gen,prefS,Fis,selModel
1,STL,1,0.6,-1,malAltLocusPref
1,STM,1,0.6,-1,malAltLocusPref
1,STH,1,0.6,-1,malAltLocusPref
1,STL,2,0.6,-0.4425,malAltLocusPref
1,STM,2,0.6,-0.3209,malAltLocusPref
1,STH,2,0.6,-0.435,malAltLocusPref
1,STL,3,0.6,-0.4848,malAltLocusPref
1,STM,3,0.6,-0.3936,malAltLocusPref
1,STH,3,0.6,-0.3936,malAltLocusPref
1,STL,4,0.6,-0.3243,malAltLocusPref
1,STM,4,0.6,-0.4,malAltLocusPref
1,STH,4,0.6,-0.4,malAltLocusPref
1,STL,5,0.6,-0.2285,malAltLocusPref
1,STM,5,0.6,-0.259,malAltLocusPref
1,STH,5,0.6,-0.2379,malAltLocusPref
1,STL,6,0.6,-0.2727,malAltLocusPref
1,STM,6,0.6,-0.225,malAltLocusPref
1,STH,6,0.6,-0.3067,malAltLocusPref
1,STL,7,0.6,-0.1951,malAltLocusPref
1,STM,7,0.6,-0.1529,malAltLocusPref
1,STH,7,0.6,0.0101,malAltLocusPref
1,STL,8,0.6,-0.0652,malAltLocusPref
1,STM,8,0.6,0.1211,malAltLocusPref
1,STH,8,0.6,-0.074,malAltLocusPref
1,STL,9,0.6,-0.0652,malAltLocusPref
1,STM,9,0.6,-0.0095,malAltLocusPref
1,STH,9,0.6,-0.2099,malAltLocusPref
1,STL,10,0.6,-0.0538,malAltLocusPref
1,STM,10,0.6,-0.1667,malAltLocusPref
1,STH,10,0.6,-0.1395,malAltLocusPref
1,STL,11,0.6,-0.0769,malAltLocusPref
1,STM,11,0.6,-0.1395,malAltLocusPref
1,STH,11,0.6,-0.1395,malAltLocusPref
1,STL,12,0.6,-0.0426,malAltLocusPref
1,STM,12,0.6,-0.1807,malAltLocusPref
1,STH,12,0.6,-0.1529,malAltLocusPref
1,STL,13,0.6,-0.0538,malAltLocusPref
1,STM,13,0.6,-0.225,malAltLocusPref
1,STH,13,0.6,-0.0095,malAltLocusPref
1,STL,14,0.6,-0.0426,malAltLocusPref
1,STM,14,0.6,-0.1395,malAltLocusPref
1,STH,14,0.6,-0.1011,malAltLocusPref
1,STL,15,0.6,-0.0538,malAltLocusPref
1,STM,15,0.6,-0.0889,malAltLocusPref
1,STH,15,0.6,-0.1011,malAltLocusPref
1,STL,16,0.6,-0.0769,malAltLocusPref
1,STM,16,0.6,-0.0316,malAltLocusPref
1,STH,16,0.6,-0.0316,malAltLocusPref
1,STL,17,0.6,-0.0652,malAltLocusPref
1,STM,17,0.6,-0.0316,malAltLocusPref
1,STH,17,0.6,-0.0103,malAltLocusPref
1,STL,18,0.6,-0.1395,malAltLocusPref
1,STM,18,0.6,NaN,malAltLocusPref
1,STH,18,0.6,0,malAltLocusPref
1,STL,19,0.6,-0.1395,malAltLocusPref
1,STM,19,0.6,NaN,malAltLocusPref
1,STH,19,0.6,NaN,malAltLocusPref
1,STL,20,0.6,-0.1667,malAltLocusPref
1,STM,20,0.6,NaN,malAltLocusPref
1,STH,20,0.6,NaN,malAltLocusPref
2,STL,1,0.6,-1,malAltLocusPref
2,STM,1,0.6,-1,malAltLocusPref
2,STH,1,0.6,-1,malAltLocusPref
