replicate,pop,gen,prefS,H0,selModel
1,STL,1,0.91,1,malAltLocusPref
1,STM,1,0.91,1,malAltLocusPref
1,STH,1,0.91,1,malAltLocusPref
1,STL,2,0.91,0.7,malAltLocusPref
1,STM,2,0.91,0.6,malAltLocusPref
1,STH,2,0.91,0.64,malAltLocusPref
1,STL,3,0.91,0.48,malAltLocusPref
1,STM,3,0.91,0.48,malAltLocusPref
1,STH,3,0.91,0.56,malAltLocusPref
1,STL,4,0.91,0.42,malAltLocusPref
1,STM,4,0.91,0.54,malAltLocusPref
1,STH,4,0.91,0.42,malAltLocusPref
1,STL,5,0.91,0.24,malAltLocusPref
1,STM,5,0.91,0.46,malAltLocusPref
1,STH,5,0.91,0.46,malAltLocusPref
1,STL,6,0.91,0.22,malAltLocusPref
1,STM,6,0.91,0.36,malAltLocusPref
1,STH,6,0.91,0.42,malAltLocusPref
1,STL,7,0.91,0.22,malAltLocusPref
1,STM,7,0.91,0.32,malAltLocusPref
1,STH,7,0.91,0.42,malAltLocusPref
1,STL,8,0.91,0.2,malAltLocusPref
1,STM,8,0.91,0.36,malAltLocusPref
1,STH,8,0.91,0.4,malAltLocusPref
1,STL,9,0.91,0.2,malAltLocusPref
1,STM,9,0.91,0.28,malAltLocusPref
1,STH,9,0.91,0.4,malAltLocusPref
1,STL,10,0.91,0.1,malAltLocusPref
1,STM,10,0.91,0.34,malAltLocusPref
1,STH,10,0.91,0.34,malAltLocusPref
1,STL,11,0.91,0.1,malAltLocusPref
1,STM,11,0.91,0.4,malAltLocusPref
1,STH,11,0.91,0.22,malAltLocusPref
1,STL,12,0.91,0.1,malAltLocusPref
1,STM,12,0.91,0.26,malAltLocusPref
1,STH,12,0.91,0.22,malAltLocusPref
1,STL,13,0.91,0.06,malAltLocusPref
1,STM,13,0.91,0.26,malAltLocusPref
1,STH,13,0.91,0.16,malAltLocusPref
1,STL,14,0.91,0.04,malAltLocusPref
1,STM,14,0.91,0.24,malAltLocusPref
1,STH,14,0.91,0.12,malAltLocusPref
1,STL,15,0.91,0,malAltLocusPref
1,STM,15,0.91,0.32,malAltLocusPref
1,STH,15,0.91,0.1,malAltLocusPref
1,STL,16,0.91,0,malAltLocusPref
1,STM,16,0.91,0.32,malAltLocusPref
1,STH,16,0.91,0.12,malAltLocusPref
1,STL,17,0.91,0,malAltLocusPref
1,STM,17,0.91,0.32,malAltLocusPref
1,STH,17,0.91,0.14,malAltLocusPref
1,STL,18,0.91,0,malAltLocusPref
1,STM,18,0.91,0.26,malAltLocusPref
1,STH,18,0.91,0.16,malAltLocusPref
1,STL,19,0.91,0,malAltLocusPref
1,STM,19,0.91,0.22,malAltLocusPref
1,STH,19,0.91,0.12,malAltLocusPref
1,STL,20,0.91,0,malAltLocusPref
1,STM,20,0.91,0.22,malAltLocusPref
1,STH,20,0.91,0.08,malAltLocusPref
2,STL,1,0.91,1,malAltLocusPref
2,STM,1,0.91,1,malAltLocusPref
2,STH,1,0.91,1,malAltLocusPref
2,STL,2,0.91,0.58,malAltLocusPref
2,STM,2,0.91,0.52,malAltLocusPref
2,STH,2,0.91,0.62,malAltLocusPref
2,STL,3,0.91,0.46,malAltLocusPref
2,STM,3,0.91,0.56,malAltLocusPref
2,STH,3,0.91,0.52,malAltLocusPref
2,STL,4,0.91,0.34,malAltLocusPref
2,STM,4,0.91,0.4,malAltLocusPref
2,STH,4,0.91,0.42,malAltLocusPref
2,STL,5,0.91,0.28,malAltLocusPref
2,STM,5,0.91,0.4,malAltLocusPref
2,STH,5,0.91,0.34,malAltLocusPref
2,STL,6,0.91,0.28,malAltLocusPref
2,STM,6,0.91,0.3,malAltLocusPref
2,STH,6,0.91,0.3,malAltLocusPref
2,STL,7,0.91,0.26,malAltLocusPref
2,STM,7,0.91,0.18,malAltLocusPref
2,STH,7,0.91,0.14,malAltLocusPref
2,STL,8,0.91,0.22,malAltLocusPref
2,STM,8,0.91,0.18,malAltLocusPref
2,STH,8,0.91,0.12,malAltLocusPref
2,STL,9,0.91,0.28,malAltLocusPref
2,STM,9,0.91,0.24,malAltLocusPref
2,STH,9,0.91,0.24,malAltLocusPref
2,STL,10,0.91,0.24,malAltLocusPref
2,STM,10,0.91,0.16,malAltLocusPref
2,STH,10,0.91,0.24,malAltLocusPref
2,STL,11,0.91,0.18,malAltLocusPref
2,STM,11,0.91,0.14,malAltLocusPref
2,STH,11,0.91,0.22,malAltLocusPref
2,STL,12,0.91,0.24,malAltLocusPref
2,STM,12,0.91,0.08,malAltLocusPref
2,STH,12,0.91,0.14,malAltLocusPref
2,STL,13,0.91,0.22,malAltLocusPref
2,STM,13,0.91,0.06,malAltLocusPref
2,STH,13,0.91,0.14,malAltLocusPref
2,STL,14,0.91,0.12,malAltLocusPref
2,STM,14,0.91,0.04,malAltLocusPref
2,STH,14,0.91,0.18,malAltLocusPref
2,STL,15,0.91,0.12,malAltLocusPref
2,STM,15,0.91,0.06,malAltLocusPref
2,STH,15,0.91,0.12,malAltLocusPref
2,STL,16,0.91,0.1,malAltLocusPref
2,STM,16,0.91,0.06,malAltLocusPref
2,STH,16,0.91,0.12,malAltLocusPref
2,STL,17,0.91,0.22,malAltLocusPref
2,STM,17,0.91,0.08,malAltLocusPref
2,STH,17,0.91,0.1,malAltLocusPref
2,STL,18,0.91,0.1,malAltLocusPref
2,STM,18,0.91,0.1,malAltLocusPref
2,STH,18,0.91,0.08,malAltLocusPref
2,STL,19,0.91,0.1,malAltLocusPref
2,STM,19,0.91,0.08,malAltLocusPref
2,STH,19,0.91,0.02,malAltLocusPref
2,STL,20,0.91,0.14,malAltLocusPref
2,STM,20,0.91,0.04,malAltLocusPref
2,STH,20,0.91,0.02,malAltLocusPref
3,STL,1,0.91,1,malAltLocusPref
3,STM,1,0.91,1,malAltLocusPref
3,STH,1,0.91,1,malAltLocusPref
3,STL,2,0.91,0.64,malAltLocusPref
3,STM,2,0.91,0.62,malAltLocusPref
3,STH,2,0.91,0.68,malAltLocusPref
3,STL,3,0.91,0.44,malAltLocusPref
3,STM,3,0.91,0.52,malAltLocusPref
3,STH,3,0.91,0.58,malAltLocusPref
3,STL,4,0.91,0.48,malAltLocusPref
3,STM,4,0.91,0.3,malAltLocusPref
3,STH,4,0.91,0.5,malAltLocusPref
3,STL,5,0.91,0.46,malAltLocusPref
3,STM,5,0.91,0.2,malAltLocusPref
3,STH,5,0.91,0.44,malAltLocusPref
3,STL,6,0.91,0.28,malAltLocusPref
3,STM,6,0.91,0.08,malAltLocusPref
3,STH,6,0.91,0.46,malAltLocusPref
3,STL,7,0.91,0.3,malAltLocusPref
3,STM,7,0.91,0.06,malAltLocusPref
3,STH,7,0.91,0.32,malAltLocusPref
3,STL,8,0.91,0.34,malAltLocusPref
3,STM,8,0.91,0.1,malAltLocusPref
3,STH,8,0.91,0.34,malAltLocusPref
3,STL,9,0.91,0.22,malAltLocusPref
3,STM,9,0.91,0.08,malAltLocusPref
3,STH,9,0.91,0.22,malAltLocusPref
3,STL,10,0.91,0.22,malAltLocusPref
3,STM,10,0.91,0.06,malAltLocusPref
3,STH,10,0.91,0.2,malAltLocusPref
3,STL,11,0.91,0.24,malAltLocusPref
3,STM,11,0.91,0.02,malAltLocusPref
3,STH,11,0.91,0.2,malAltLocusPref
3,STL,12,0.91,0.14,malAltLocusPref
3,STM,12,0.91,0.04,malAltLocusPref
3,STH,12,0.91,0.1,malAltLocusPref
3,STL,13,0.91,0.2,malAltLocusPref
3,STM,13,0.91,0.04,malAltLocusPref
3,STH,13,0.91,0.16,malAltLocusPref
3,STL,14,0.91,0.24,malAltLocusPref
3,STM,14,0.91,0.02,malAltLocusPref
3,STH,14,0.91,0.1,malAltLocusPref
3,STL,15,0.91,0.2,malAltLocusPref
3,STM,15,0.91,0,malAltLocusPref
3,STH,15,0.91,0.06,malAltLocusPref
3,STL,16,0.91,0.14,malAltLocusPref
3,STM,16,0.91,0,malAltLocusPref
3,STH,16,0.91,0.04,malAltLocusPref
3,STL,17,0.91,0.2,malAltLocusPref
3,STM,17,0.91,0,malAltLocusPref
3,STH,17,0.91,0.06,malAltLocusPref
3,STL,18,0.91,0.16,malAltLocusPref
3,STM,18,0.91,0,malAltLocusPref
3,STH,18,0.91,0.04,malAltLocusPref
3,STL,19,0.91,0.1,malAltLocusPref
3,STM,19,0.91,0,malAltLocusPref
3,STH,19,0.91,0,malAltLocusPref
3,STL,20,0.91,0.08,malAltLocusPref
3,STM,20,0.91,0,malAltLocusPref
3,STH,20,0.91,0,malAltLocusPref
4,STL,1,0.91,1,malAltLocusPref
4,STM,1,0.91,1,malAltLocusPref
4,STH,1,0.91,1,malAltLocusPref
4,STL,2,0.91,0.68,malAltLocusPref
4,STM,2,0.91,0.62,malAltLocusPref
4,STH,2,0.91,0.7,malAltLocusPref
4,STL,3,0.91,0.6,malAltLocusPref
4,STM,3,0.91,0.52,malAltLocusPref
4,STH,3,0.91,0.56,malAltLocusPref
4,STL,4,0.91,0.42,malAltLocusPref
4,STM,4,0.91,0.38,malAltLocusPref
4,STH,4,0.91,0.5,malAltLocusPref
4,STL,5,0.91,0.32,malAltLocusPref
4,STM,5,0.91,0.52,malAltLocusPref
4,STH,5,0.91,0.4,malAltLocusPref
4,STL,6,0.91,0.34,malAltLocusPref
4,STM,6,0.91,0.48,malAltLocusPref
4,STH,6,0.91,0.34,malAltLocusPref
4,STL,7,0.91,0.4,malAltLocusPref
4,STM,7,0.91,0.34,malAltLocusPref
4,STH,7,0.91,0.28,malAltLocusPref
4,STL,8,0.91,0.3,malAltLocusPref
4,STM,8,0.91,0.28,malAltLocusPref
4,STH,8,0.91,0.2,malAltLocusPref
4,STL,9,0.91,0.24,malAltLocusPref
4,STM,9,0.91,0.3,malAltLocusPref
4,STH,9,0.91,0.18,malAltLocusPref
4,STL,10,0.91,0.18,malAltLocusPref
4,STM,10,0.91,0.34,malAltLocusPref
4,STH,10,0.91,0.24,malAltLocusPref
4,STL,11,0.91,0.14,malAltLocusPref
4,STM,11,0.91,0.36,malAltLocusPref
4,STH,11,0.91,0.18,malAltLocusPref
4,STL,12,0.91,0.26,malAltLocusPref
4,STM,12,0.91,0.32,malAltLocusPref
4,STH,12,0.91,0.18,malAltLocusPref
4,STL,13,0.91,0.22,malAltLocusPref
4,STM,13,0.91,0.22,malAltLocusPref
4,STH,13,0.91,0.32,malAltLocusPref
4,STL,14,0.91,0.16,malAltLocusPref
4,STM,14,0.91,0.14,malAltLocusPref
4,STH,14,0.91,0.22,malAltLocusPref
4,STL,15,0.91,0.08,malAltLocusPref
4,STM,15,0.91,0.08,malAltLocusPref
4,STH,15,0.91,0.34,malAltLocusPref
4,STL,16,0.91,0.06,malAltLocusPref
4,STM,16,0.91,0.12,malAltLocusPref
4,STH,16,0.91,0.28,malAltLocusPref
4,STL,17,0.91,0.14,malAltLocusPref
4,STM,17,0.91,0.08,malAltLocusPref
4,STH,17,0.91,0.3,malAltLocusPref
4,STL,18,0.91,0.16,malAltLocusPref
4,STM,18,0.91,0.04,malAltLocusPref
4,STH,18,0.91,0.26,malAltLocusPref
4,STL,19,0.91,0.18,malAltLocusPref
4,STM,19,0.91,0.04,malAltLocusPref
