replicate,pop,gen,prefS,Fis,selModel
1,STL,1,0.8,-1,malGenWidePref
1,STM,1,0.8,-1,malGenWidePref
1,STH,1,0.8,-1,malGenWidePref
1,STL,2,0.8,-0.3803,malGenWidePref
1,STM,2,0.8,-0.4412,malGenWidePref
1,STH,2,0.8,-0.3803,malGenWidePref
1,STL,3,0.8,-0.4203,malGenWidePref
1,STM,3,0.8,-0.1964,malGenWidePref
1,STH,3,0.8,-0.1571,malGenWidePref
1,STL,4,0.8,-0.1964,malGenWidePref
1,STM,4,0.8,-0.1951,malGenWidePref
1,STH,4,0.8,-0.2564,malGenWidePref
1,STL,5,0.8,-0.2895,malGenWidePref
1,STM,5,0.8,-0.1395,malGenWidePref
1,STH,5,0.8,-0.2099,malGenWidePref
1,STL,6,0.8,-0.1571,malGenWidePref
1,STM,6,0.8,-0.1529,malGenWidePref
1,STH,6,0.8,-0.1529,malGenWidePref
1,STL,7,0.8,-0.2804,malGenWidePref
1,STM,7,0.8,-0.1807,malGenWidePref
1,STH,7,0.8,-0.1951,malGenWidePref
1,STL,8,0.8,-0.2564,malGenWidePref
1,STM,8,0.8,-0.1395,malGenWidePref
1,STH,8,0.8,-0.1964,malGenWidePref
1,STL,9,0.8,-0.1529,malGenWidePref
1,STM,9,0.8,-0.0889,malGenWidePref
1,STH,9,0.8,-0.2099,malGenWidePref
1,STL,10,0.8,-0.1136,malGenWidePref
1,STM,10,0.8,-0.1011,malGenWidePref
1,STH,10,0.8,0.0907,malGenWidePref
1,STL,11,0.8,-0.1395,malGenWidePref
1,STM,11,0.8,-0.1395,malGenWidePref
1,STH,11,0.8,-0.0769,malGenWidePref
1,STL,12,0.8,-0.1951,malGenWidePref
1,STM,12,0.8,-0.1136,malGenWidePref
1,STH,12,0.8,-0.1136,malGenWidePref
1,STL,13,0.8,-0.1667,malGenWidePref
1,STM,13,0.8,-0.1529,malGenWidePref
1,STH,13,0.8,-0.0538,malGenWidePref
1,STL,14,0.8,-0.1529,malGenWidePref
1,STM,14,0.8,-0.1667,malGenWidePref
1,STH,14,0.8,-0.0426,malGenWidePref
1,STL,15,0.8,-0.1807,malGenWidePref
1,STM,15,0.8,-0.1136,malGenWidePref
1,STH,15,0.8,-0.0769,malGenWidePref
1,STL,16,0.8,-0.1951,malGenWidePref
1,STM,16,0.8,-0.1011,malGenWidePref
1,STH,16,0.8,-0.0769,malGenWidePref
1,STL,17,0.8,-0.2099,malGenWidePref
1,STM,17,0.8,-0.0652,malGenWidePref
1,STH,17,0.8,-0.1011,malGenWidePref
1,STL,18,0.8,0.3423,malGenWidePref
1,STM,18,0.8,-0.0426,malGenWidePref
1,STH,18,0.8,-0.0889,malGenWidePref
1,STL,19,0.8,-0.1264,malGenWidePref
1,STM,19,0.8,-0.0426,malGenWidePref
1,STH,19,0.8,-0.0316,malGenWidePref
1,STL,20,0.8,-0.0652,malGenWidePref
1,STM,20,0.8,-0.0652,malGenWidePref
1,STH,20,0.8,-0.0538,malGenWidePref
2,STL,1,0.8,-1,malGenWidePref
2,STM,1,0.8,-1,malGenWidePref
2,STH,1,0.8,-1,malGenWidePref
2,STL,2,0.8,-0.3785,malGenWidePref
2,STM,2,0.8,-0.5806,malGenWidePref
2,STH,2,0.8,-0.3936,malGenWidePref
2,STL,3,0.8,-0.2775,malGenWidePref
2,STM,3,0.8,-0.3243,malGenWidePref
2,STH,3,0.8,-0.3611,malGenWidePref
2,STL,4,0.8,-0.1807,malGenWidePref
