replicate,pop,gen,prefS,H0,selModel
1,STL,1,0.2,1,malGenWidePref
1,STM,1,0.2,1,malGenWidePref
1,STH,1,0.2,1,malGenWidePref
1,STL,2,0.2,0.66,malGenWidePref
1,STM,2,0.2,0.56,malGenWidePref
1,STH,2,0.2,0.76,malGenWidePref
1,STL,3,0.2,0.4,malGenWidePref
1,STM,3,0.2,0.38,malGenWidePref
1,STH,3,0.2,0.56,malGenWidePref
1,STL,4,0.2,0.32,malGenWidePref
1,STM,4,0.2,0.34,malGenWidePref
1,STH,4,0.2,0.38,malGenWidePref
1,STL,5,0.2,0.24,malGenWidePref
1,STM,5,0.2,0.22,malGenWidePref
1,STH,5,0.2,0.2,malGenWidePref
1,STL,6,0.2,0.26,malGenWidePref
1,STM,6,0.2,0.18,malGenWidePref
1,STH,6,0.2,0.16,malGenWidePref
1,STL,7,0.2,0.22,malGenWidePref
1,STM,7,0.2,0.16,malGenWidePref
1,STH,7,0.2,0.22,malGenWidePref
1,STL,8,0.2,0.16,malGenWidePref
1,STM,8,0.2,0.1,malGenWidePref
1,STH,8,0.2,0.2,malGenWidePref
1,STL,9,0.2,0.14,malGenWidePref
1,STM,9,0.2,0.08,malGenWidePref
1,STH,9,0.2,0.22,malGenWidePref
1,STL,10,0.2,0.16,malGenWidePref
1,STM,10,0.2,0.08,malGenWidePref
1,STH,10,0.2,0.18,malGenWidePref
1,STL,11,0.2,0.14,malGenWidePref
1,STM,11,0.2,0.16,malGenWidePref
1,STH,11,0.2,0.22,malGenWidePref
1,STL,12,0.2,0.18,malGenWidePref
1,STM,12,0.2,0.08,malGenWidePref
1,STH,12,0.2,0.16,malGenWidePref
1,STL,13,0.2,0.16,malGenWidePref
1,STM,13,0.2,0.06,malGenWidePref
1,STH,13,0.2,0.14,malGenWidePref
1,STL,14,0.2,0.08,malGenWidePref
1,STM,14,0.2,0.06,malGenWidePref
1,STH,14,0.2,0.1,malGenWidePref
1,STL,15,0.2,0.04,malGenWidePref
1,STM,15,0.2,0.06,malGenWidePref
1,STH,15,0.2,0.12,malGenWidePref
1,STL,16,0.2,0.06,malGenWidePref
1,STM,16,0.2,0.04,malGenWidePref
1,STH,16,0.2,0.18,malGenWidePref
1,STL,17,0.2,0.06,malGenWidePref
1,STM,17,0.2,0.02,malGenWidePref
1,STH,17,0.2,0.12,malGenWidePref
1,STL,18,0.2,0.02,malGenWidePref
1,STM,18,0.2,0,malGenWidePref
1,STH,18,0.2,0.08,malGenWidePref
1,STL,19,0.2,0,malGenWidePref
1,STM,19,0.2,0,malGenWidePref
1,STH,19,0.2,0.1,malGenWidePref
1,STL,20,0.2,0,malGenWidePref
1,STM,20,0.2,0,malGenWidePref
1,STH,20,0.2,0.16,malGenWidePref
2,STL,1,0.2,1,malGenWidePref
2,STM,1,0.2,1,malGenWidePref
2,STH,1,0.2,1,malGenWidePref
2,STL,2,0.2,0.66,malGenWidePref
2,STM,2,0.2,0.64,malGenWidePref
2,STH,2,0.2,0.48,malGenWidePref
2,STL,3,0.2,0.54,malGenWidePref
2,STM,3,0.2,0.5,malGenWidePref
2,STH,3,0.2,0.44,malGenWidePref
2,STL,4,0.2,0.54,malGenWidePref
2,STM,4,0.2,0.44,malGenWidePref
2,STH,4,0.2,0.44,malGenWidePref
2,STL,5,0.2,0.44,malGenWidePref
2,STM,5,0.2,0.32,malGenWidePref
2,STH,5,0.2,0.28,malGenWidePref
2,STL,6,0.2,0.32,malGenWidePref
2,STM,6,0.2,0.22,malGenWidePref
2,STH,6,0.2,0.28,malGenWidePref
