replicate,pop,gen,prefS,Fis,selModel
1,STL,1,0.2,-1,malIncompLocusPref
1,STM,1,0.2,-1,malIncompLocusPref
1,STH,1,0.2,-1,malIncompLocusPref
1,STL,2,0.2,-0.2929,malIncompLocusPref
1,STM,2,0.2,-0.264,malIncompLocusPref
1,STH,2,0.2,-0.5482,malIncompLocusPref
1,STL,3,0.2,-0.3936,malIncompLocusPref
1,STM,3,0.2,-0.2171,malIncompLocusPref
1,STH,3,0.2,-0.4177,malIncompLocusPref
1,STL,4,0.2,-0.2285,malIncompLocusPref
1,STM,4,0.2,-0.2171,malIncompLocusPref
1,STH,4,0.2,-0.259,malIncompLocusPref
1,STL,5,0.2,-0.2727,malIncompLocusPref
1,STM,5,0.2,-0.053,malIncompLocusPref
1,STH,5,0.2,-0.1807,malIncompLocusPref
1,STL,6,0.2,-0.1011,malIncompLocusPref
1,STM,6,0.2,-0.1667,malIncompLocusPref
1,STH,6,0.2,-0.1529,malIncompLocusPref
1,STL,7,0.2,-0.0538,malIncompLocusPref
1,STM,7,0.2,-0.1136,malIncompLocusPref
1,STH,7,0.2,-0.1264,malIncompLocusPref
1,STL,8,0.2,-0.0208,malIncompLocusPref
1,STM,8,0.2,-0.0889,malIncompLocusPref
1,STH,8,0.2,-0.0769,malIncompLocusPref
1,STL,9,0.2,-0.0208,malIncompLocusPref
1,STM,9,0.2,-0.0538,malIncompLocusPref
1,STH,9,0.2,-0.0769,malIncompLocusPref
1,STL,10,0.2,-0.0103,malIncompLocusPref
1,STM,10,0.2,-0.0426,malIncompLocusPref
1,STH,10,0.2,-0.0103,malIncompLocusPref
1,STL,11,0.2,0,malIncompLocusPref
1,STM,11,0.2,-0.0316,malIncompLocusPref
1,STH,11,0.2,-0.0208,malIncompLocusPref
1,STL,12,0.2,NaN,malIncompLocusPref
1,STM,12,0.2,-0.1011,malIncompLocusPref
1,STH,12,0.2,-0.0103,malIncompLocusPref
1,STL,13,0.2,NaN,malIncompLocusPref
1,STM,13,0.2,-0.0889,malIncompLocusPref
1,STH,13,0.2,-0.0208,malIncompLocusPref
1,STL,14,0.2,NaN,malIncompLocusPref
1,STM,14,0.2,-0.0769,malIncompLocusPref
1,STH,14,0.2,-0.0208,malIncompLocusPref
1,STL,15,0.2,NaN,malIncompLocusPref
1,STM,15,0.2,0.3,malIncompLocusPref
1,STH,15,0.2,-0.0103,malIncompLocusPref
1,STL,16,0.2,NaN,malIncompLocusPref
1,STM,16,0.2,-0.1011,malIncompLocusPref
1,STH,16,0.2,0,malIncompLocusPref
1,STL,17,0.2,NaN,malIncompLocusPref
1,STM,17,0.2,-0.0769,malIncompLocusPref
