id	pop	sex	FatherId	MotherId	Sex	incomp	
1571	3	1	1461	1445	1.000000	5.000000	
1572	3	1	1458	1447	1.000000	8.000000	
1573	3	1	1414	1447	1.000000	8.000000	
1575	3	1	1419	1449	1.000000	8.000000	
1577	3	1	1464	1449	1.000000	8.000000	
1578	3	1	1457	1424	1.000000	8.000000	
1579	3	1	1457	1424	1.000000	8.000000	
1580	3	1	1414	1443	1.000000	8.000000	
1582	3	1	1440	1443	1.000000	8.000000	
1589	3	1	1456	1432	1.000000	8.000000	
1590	3	1	1454	1432	1.000000	8.000000	
1591	3	1	1464	1430	1.000000	8.000000	
1592	3	1	1421	1430	1.000000	8.000000	
1593	3	1	1441	1426	1.000000	8.000000	
1595	3	1	1451	1436	1.000000	8.000000	
1596	3	1	1435	1436	1.000000	5.000000	
1600	3	1	1465	1433	1.000000	8.000000	
1604	3	1	1451	1433	1.000000	8.000000	
1606	3	1	1423	1434	1.000000	5.000000	
1607	3	1	1444	1434	1.000000	8.000000	
1609	3	1	1419	1415	1.000000	8.000000	
1610	3	1	1421	1415	1.000000	8.000000	
1612	3	1	1435	1452	1.000000	8.000000	
1616	3	1	1464	1416	1.000000	8.000000	
1617	3	1	1442	1433	1.000000	8.000000	
id	pop	sex	FatherId	MotherId	Sex	incomp	
1568	3	0	1458	1463	0.000000	8.000000	
1569	3	0	1465	1445	0.000000	8.000000	
1570	3	0	1446	1445	0.000000	8.000000	
1574	3	0	1441	1449	0.000000	8.000000	
1576	3	0	1421	1449	0.000000	8.000000	
1581	3	0	1438	1443	0.000000	8.000000	
1583	3	0	1428	1443	0.000000	8.000000	
1584	3	0	1441	1418	0.000000	5.000000	
1585	3	0	1414	1418	0.000000	5.000000	
1586	3	0	1421	1418	0.000000	8.000000	
1587	3	0	1441	1432	0.000000	8.000000	
1588	3	0	1456	1432	0.000000	8.000000	
1594	3	0	1465	1436	0.000000	8.000000	
1597	3	0	1457	1436	0.000000	5.000000	
1598	3	0	1444	1436	0.000000	8.000000	
1599	3	0	1444	1436	0.000000	8.000000	
1601	3	0	1464	1433	0.000000	8.000000	
1602	3	0	1459	1433	0.000000	8.000000	
1603	3	0	1437	1433	0.000000	8.000000	
1608	3	0	1444	1415	0.000000	8.000000	
1611	3	0	1437	1452	0.000000	8.000000	
1613	3	0	1457	1422	0.000000	8.000000	
1614	3	0	1454	1422	0.000000	8.000000	
1615	3	0	1440	1416	0.000000	8.000000	
1618	3	0	1461	1426	0.000000	8.000000	
id	pop	sex	FatherId	MotherId	Sex	incomp	
1620	4	1	1510	1480	1.000000	8.000000	
1623	4	1	1504	1486	1.000000	8.000000	
1625	4	1	1500	1472	1.000000	8.000000	
1626	4	1	1509	1472	1.000000	8.000000	
1627	4	1	1474	1472	1.000000	8.000000	
1628	4	1	1485	1472	1.000000	8.000000	
1631	4	1	1512	1511	1.000000	8.000000	
1632	4	1	1499	1511	1.000000	8.000000	
1636	4	1	1474	1467	1.000000	8.000000	
1637	4	1	1512	1507	1.000000	8.000000	
1638	4	1	1505	1507	1.000000	5.000000	
1642	4	1	1501	1513	1.000000	5.000000	
1643	4	1	1500	1513	1.000000	8.000000	
1645	4	1	1489	1475	1.000000	8.000000	
1646	4	1	1501	1475	1.000000	8.000000	
1650	4	1	1483	1491	1.000000	8.000000	
1651	4	1	1490	1491	1.000000	8.000000	
1652	4	1	1488	1491	1.000000	8.000000	
1653	4	1	1509	1491	1.000000	8.000000	
1655	4	1	1500	1482	1.000000	8.000000	
1656	4	1	1488	1502	1.000000	8.000000	
1658	4	1	1510	1502	1.000000	8.000000	
1659	4	1	1499	1502	1.000000	8.000000	
1660	4	1	1469	1466	1.000000	8.000000	
1662	4	1	1504	1466	1.000000	8.000000	
1664	4	1	1468	1492	1.000000	8.000000	
1666	4	1	1469	1497	1.000000	5.000000	
1667	4	1	1490	1497	1.000000	5.000000	
id	pop	sex	FatherId	MotherId	Sex	incomp	
1619	4	0	1506	1480	0.000000	8.000000	
1621	4	0	1512	1480	0.000000	8.000000	
1622	4	0	1468	1480	0.000000	8.000000	
1624	4	0	1500	1486	0.000000	8.000000	
1629	4	0	1515	1470	0.000000	8.000000	
1630	4	0	1510	1511	0.000000	8.000000	
1633	4	0	1477	1511	0.000000	8.000000	
1634	4	0	1484	1503	0.000000	8.000000	
1635	4	0	1468	1503	0.000000	8.000000	
1639	4	0	1498	1471	0.000000	8.000000	
1644	4	0	1498	1513	0.000000	5.000000	
1647	4	0	1483	1475	0.000000	8.000000	
1648	4	0	1501	1475	0.000000	8.000000	
1649	4	0	1477	1491	0.000000	8.000000	
1654	4	0	1508	1478	0.000000	8.000000	
1657	4	0	1498	1502	0.000000	8.000000	
1661	4	0	1500	1466	0.000000	8.000000	
1663	4	0	1504	1492	0.000000	8.000000	
1665	4	0	1501	1497	0.000000	8.000000	
1668	4	0	1477	1514	0.000000	8.000000	
1669	4	0	1481	1514	0.000000	8.000000	
1670	4	0	1505	1487	0.000000	8.000000	
id	pop	sex	FatherId	MotherId	Sex	incomp	
1672	5	1	1532	1545	1.000000	8.000000	
1675	5	1	1537	1553	1.000000	8.000000	
1676	5	1	1519	1553	1.000000	8.000000	
1678	5	1	1519	1553	1.000000	8.000000	
1679	5	1	1537	1518	1.000000	8.000000	
1681	5	1	1520	1566	1.000000	8.000000	
