name	Chromosome	position	Dominant.Allele	Dominant.Allele.Value	Recessive.Allele	Recessive.Allele.Value	Mode	Dominant.Freq.Pop1	Dominant.Freq.Pop2
chr1_18043158 	1 	18043158 	A 	1 	a 	0 	Additive 	1 	0
chr2_10651541 	2	10651541 	A 	1 	a 	0 	Additive 	1 	0
chr3_24848422 	3	24848422 	A 	1 	a 	0 	Additive 	1 	0
chr4_14690179 	4	14690179 	A 	1 	a 	0 	Additive 	1 	0
chr5_26684333 	5	26684333 	A 	1 	a 	0 	Additive 	1 	0
chr6_11000000	6	11000000	A	4	a	1	Additive	1	0
chr6_29674480	6	29674480 	A 	1 	a 	0 	Additive 	1 	0
chr7_18654092 	7	18654092	A	1	a	0	Additive	1	0
chr8_24646492 	8	24646492	A	1	a	0	Additive	1	0
chr9_3501827 	9	3501827	A	1	a	0	Additive	1	0
chr10_839117 	10	839117	A	1	a	0	Additive	1	0
chr11_4196870 	11	4196870	A	1	a	0	Additive	1	0
chr12_25122988 	12	25122988	A	1	a	0	Additive	1	0
chr13_13168215 	13	13168215	A	1	a	0	Additive	1	0
chr14_23823488 	14	23823488	A	1	a	0	Additive	1	0
chr15_9615665 	15	9615665	A	1	a	0	Additive	1	0
chr16_3097864 	16	3097864	A	1	a	0	Additive	1	0
chr17_15323833 	17	15323833	A	1	a	0	Additive	1	0
chr18_24147631 	18	24147631	A	1	a	0	Additive	1	0
chr19_18792144 	19	18792144	A	1	a	0	Additive	1	0
chr20_15315783 	20	15315783	A	1	a	0	Additive	1	0
chr21_500000	21	500000	S	1	s	0	Hemizygous	0.5	0.5
chr21_12652105 	21	12652105	A	1	a	0	Additive	1	0
chr22_27998871 	22	27998871	A	1	a	0	Additive	1	0
chr23_21424553 	23	21424553	A	1	a	0	Additive	1	0
chr24_1236960 	24	1236960	A	1	a	0	Additive	1	0
