name	Chromosome	position	Dominant.Allele	Dominant.Allele.Value	Recessive.Allele	Recessive.Allele.Value	Mode	Dominant.Freq.Pop1	Dominant.Freq.Pop2
chr1_23853569	1	23853569	A	7	a	5	Additive	0	1
chr2_11708952	2	11708952	B	4	b	1	Additive	1	0
chr3_5267822	3	5267822	C	7	c	5	Additive	0	1
chr4_2970939	4	2970939	D	4	d	1	Additive	1	0
chr5_14381826	5	14381826	E	7	e	5	Additive	0	1
chr6_4345921	6	4345921	F	4	f	1	Additive	1	0
chr7_4230640	7	4230640	G	4	g	1	Additive	1	0
chr8_17306547	8	17306547	H	7	h	5	Additive	0	1
chr9_2730891	9	2730891	I	7	i	5	Additive	0	1
chr10_28825212	10	28825212	J	7	j	5	Additive	0	1
chr11_16354120	11	16354120	K	7	k	5	Additive	0	1
chr12_22576787	12	22576787	L	7	l	5	Additive	0	1
chr13_1484710	13	1484710	M	4	m	1	Additive	1	0
chr14_6654061	14	6654061	N	4	n	1	Additive	1	0
chr15_796700	15	796700	O	7	o	5	Additive	0	1
chr16_25529919	16	25529919	P	4	p	1	Additive	1	0
chr17_9559245	17	9559245	Q	7	q	5	Additive	0	1
chr18_26461346	18	26461346	R	4	r	1	Additive	1	0
chr19_133412	19	133412	T	7	t	5	Additive	0	1
chr20_17688131	20	17688131	U	4	u	1	Additive	1	0
chr21_500000	21	500000	S	1	s	0	Hemizygous	0.5	0.5
chr21_28069726	21	28069726	V	4	v	1	Additive	1	0
chr22_24615659	22	24615659	W	4	w	1	Additive	1	0
chr23_627581	23	627581	X	4	x	1	Additive	1	0
chr24_24496603	24	24496603	Y	7	y	5	Additive	0	1
